Source,Target,Relation,Label
Margaery_Tyrell,Highgarden,AssociatedLocation,Origin
Brandon_Stark_(son_of_Rickard),Winterfell,AssociatedLocation,Origin
Elaena_Glenmore,Rillwater_Crossing,AssociatedLocation,Origin
Gryff_Whitehill,Highpoint,AssociatedLocation,Origin
Ryon_Forrester,Ironrath,AssociatedLocation,Origin
Ludd_Whitehill,Highpoint,AssociatedLocation,Origin
Alton_Lannister,The_Westerlands,AssociatedLocation,Origin
Lady_Crane,Braavos,AssociatedLocation,Origin
Willem_Frey,The_Twins,AssociatedLocation,Origin
Robett_Glover,Deepwood_Motte,AssociatedLocation,Origin
Harrion_Karstark,Karhold,AssociatedLocation,Origin
Baratheon_(son_of_Robert),Red_Keep,AssociatedLocation,Origin
Baratheon_(son_of_Robert),King%27s_Landing,AssociatedLocation,Origin
Lord_of_Bones,Beyond_the_Wall,AssociatedLocation,Origin
Baelish_(founder),Braavos,AssociatedLocation,Origin
Baelish_(hedge_knight),Unnamed_Baelish_castle,AssociatedLocation,Origin
Baelish_(hedge_knight),The_Vale_of_Arryn,AssociatedLocation,Origin
Ros,The_North,AssociatedLocation,Origin
Elbert_Arryn,The_Eyrie,AssociatedLocation,Origin
Lord_Baelish_(father_of_Petyr),The_Vale_of_Arryn,AssociatedLocation,Origin
Ryger_Rivers,The_Twins,AssociatedLocation,Origin
Waldron_Frey,The_Twins,AssociatedLocation,Origin
Tully_(son_of_Edmure),The_Twins,AssociatedLocation,Origin
Tion_Tarbeck,Tarbeck_Hall,AssociatedLocation,Origin
Ellyn_Reyne,Castamere,AssociatedLocation,Origin
Walderan_Tarbeck,Tarbeck_Hall,AssociatedLocation,Origin
Alys_Harroway,Harrenhal,AssociatedLocation,Origin
Danelle_Lothston,Harrenhal,AssociatedLocation,Origin
Tion_Lannister,Casterly_Rock,AssociatedLocation,Origin
Tywald_Lannister,Casterly_Rock,AssociatedLocation,Origin
Reynard_Reyne,Castamere,AssociatedLocation,Origin
Roger_Reyne,Castamere,AssociatedLocation,Origin
Jeyne_Lannister,Ashemark,AssociatedLocation,Origin
