Source,Target,Relation,Label
Lady_Crane,Braavos,Culture,Culture
Baelish_(founder),Braavos,Culture,Culture
Baelish_(hedge_knight),Braavos,Culture,Culture
Lord_Baelish_(father_of_Petyr),Braavos,Culture,Culture
Jeffory_Mallister,The_Riverlands,Culture,Culture
Valyrian_sword_smith,Volantis,Culture,Culture
Tobho_Mott,Qohor,Culture,Culture
Red_Priestess_(High_Sparrow),Yi_Ti,Culture,Culture
Red_Priestess_(High_Sparrow),Volantis,Culture,Culture
Cleon,Astapor,Culture,Culture
High_Priest_of_R%27hllor,Myr,Culture,Culture
The_Harpy,Meereen,Culture,Culture
Oznak_zo_Pahl,Meereen,Culture,Culture
Greizhen_mo_Ullhor,Astapor,Culture,Culture
Yunkai%27i_whore,Yunkai,Culture,Culture
Mero,Braavos,Culture,Culture
Kyle_Royce,The_Vale_of_Arryn,Culture,Culture
Clarenzo,Braavos,Culture,Culture
Thin_man,Braavos,Culture,Culture
Bianca,Braavos,Culture,Culture
Izembaro,Braavos,Culture,Culture
Bobono,Braavos,Culture,Culture
Mummer_3,Braavos,Culture,Culture
Brusco,Braavos,Culture,Culture
Mummer_2,Braavos,Culture,Culture
Mummer_1,Braavos,Culture,Culture
Musician_5_(The_Door),Braavos,Culture,Culture
Musician_4_(The_Door),Braavos,Culture,Culture
Musician_3_(The_Door),Braavos,Culture,Culture
Musician_2_(The_Door),Braavos,Culture,Culture
Musician_1_(The_Door),Braavos,Culture,Culture
Mummer_(Margaery_Tyrell),Braavos,Culture,Culture
Camello,Braavos,Culture,Culture
Lhara,Braavos,Culture,Culture
Brea,Braavos,Culture,Culture
Bathhouse_prostitute,Braavos,Culture,Culture
Burton_Crakehall,The_Westerlands,Culture,Culture
Braavosi_madam,Braavos,Culture,Culture
Braavosi_prostitute,Braavos,Culture,Culture
Aya,Braavos,Culture,Culture
Anara,Braavos,Culture,Culture
Whore_(Mother_of_Dragons),Volantis,Culture,Culture
Dezhor_zo_Raza,Meereen,Culture,Culture
Clea,Volantis,Culture,Culture
Ternesio_Terys,Braavos,Culture,Culture
Illyrio_Mopatis%27s_first_wife,Pentos,Culture,Culture
Uthero_Zalyne,Braavos,Culture,Culture
Merchant_captain,Pentos,Culture,Culture
Shae,Lorath,Culture,Culture
Spice_King,Qarth,Culture,Culture
Copper_King,Qarth,Culture,Culture
Silk_King,Qarth,Culture,Culture
Bloodsong,Yi_Ti,Culture,Culture
Bloodsong,Meereen,Culture,Culture
Amaya,Meereen,Culture,Culture
Amaya,Summer_Islands,Culture,Culture
The_Scourge,Lys,Culture,Culture
