Source,Target,Relation,Label
Luwin,Winterfell,Death,Death
Margaery_Tyrell,King%27s_Landing,Death,Death
Captured_wight,Beyond_the_Wall,Death,Death
Captured_wight,King%27s_Landing,Death,Death
Tyene_Sand,King%27s_Landing,Death,Death
Brandon_Stark_(son_of_Rickard),King%27s_Landing,Death,Death
Gryff_Whitehill,The_North,Death,Death
Gryff_Whitehill,The_North,Death,Death
Gryff_Whitehill,Ironrath,Death,Death
Ludd_Whitehill,The_North,Death,Death
Ludd_Whitehill,The_North,Death,Death
Ludd_Whitehill,Ironrath,Death,Death
Willem_Lannister,Riverrun,Death,Death
Martyn_Lannister,Riverrun,Death,Death
Alton_Lannister,Oxcross,Death,Death
Stafford_Lannister,Oxcross,Death,Death
Joanna_Lannister,Casterly_Rock,Death,Death
Thermund,The_Twins,Death,Death
Lady_Crane,Braavos,Death,Death
Willem_Frey,The_Twins,Death,Death
Harrion_Karstark,Whispering_Wood,Death,Death
The_Tickler,Harrenhal,Death,Death
Lord_of_Bones,Hardhome,Death,Death
Ros,King%27s_Landing,Death,Death
Elbert_Arryn,King%27s_Landing,Death,Death
Hugh,King%27s_Landing,Death,Death
Ryger_Rivers,The_Twins,Death,Death
Talbot,The_Twins,Death,Death
Waldron_Frey,The_Twins,Death,Death
Malcolm,The_Twins,Death,Death
Joyeuse_Frey,The_Twins,Death,Death
Tion_Tarbeck,Tarbeck_Hall,Death,Death
Tion_Tarbeck,Tarbeck_Hall,Death,Death
Ellyn_Reyne,Tarbeck_Hall,Death,Death
Ellyn_Reyne,Tarbeck_Hall,Death,Death
Walderan_Tarbeck,Tarbeck_Hall,Death,Death
Knight_of_House_Frey,The_Twins,Death,Death
Raymun_Darry,Mummer%27s_Ford,Death,Death
Reynard_Reyne,Castamere,Death,Death
Roger_Reyne,Castamere,Death,Death
Daemon_II_Blackfyre,Black_Cells,Death,Death
Jaremy_Mallister,Harrenhal,Death,Death
Adrack_Humble,Moat_Cailin,Death,Death
Loboda,Hardhome,Death,Death
Karsi,Hardhome,Death,Death
Jeffory_Mallister,King%27s_Landing,Death,Death
Jaehaerys_Targaryen_(son_of_Aegon_II),King%27s_Landing,Death,Death
Wun_Weg_Wun_Dar_Wun,Winterfell,Death,Death
White_Walker_(Hardhome),Hardhome,Death,Death
Styr,Castle_Black,Death,Death
Qotho,Lhazar,Death,Death
Smalljon_Umber,Winterfell,Death,Death
Dongo,Castle_Black,Death,Death
Orell,Queenscrown,Death,Death
Thenn_warg,Castle_Black,Death,Death
Mago,Lhazar,Death,Death
Leaf,Cave_of_the_Three-Eyed_Raven,Death,Death
Three-Eyed_Raven,Cave_of_the_Three-Eyed_Raven,Death,Death
Ormund_Baratheon,Stepstones,Death,Death
Old_man,Queenscrown,Death,Death
Moro,Vaes_Dothrak,Death,Death
Lyman_Beesbury,King%27s_Landing,Death,Death
Medger_Cerwyn,Castle_Cerwyn,Death,Death
Moro%27s_bloodrider_2,Vaes_Dothrak,Death,Death
Aggo_(The_Red_Woman),Vaes_Dothrak,Death,Death
Hallis_Mollen,Winterfell,Death,Death
Iggo,Vaes_Dothrak,Death,Death
