Source,Target,Relation,Label
Qyburn,Maesters,Allegiance,Allegiance
Luwin,Maesters,Allegiance,Allegiance
Wolkan,Maesters,Allegiance,Allegiance
Bear_Island_maester,Maesters,Allegiance,Allegiance
Cressen,Maesters,Allegiance,Allegiance
Volarik,Maesters,Allegiance,Allegiance
Vaull,Night%27s_Watch,Allegiance,Allegiance
Tyene_Sand,Sand_Snakes,Allegiance,Allegiance
Rat_Cook,Night%27s_Watch,Allegiance,Allegiance
Baelor_Targaryen,Faith_of_the_Seven,Allegiance,Allegiance
Denner,Night%27s_Watch,Allegiance,Allegiance
Maelor_Targaryen,Greens,Allegiance,Allegiance
Jaehaerys_Targaryen_(son_of_Aegon_II),Greens,Allegiance,Allegiance
Borros_Baratheon,Greens,Allegiance,Allegiance
Otto_Hightower,Greens,Allegiance,Allegiance
Lyman_Beesbury,Blacks,Allegiance,Allegiance
Johanna_Lannister,Greens,Allegiance,Allegiance
Munkun,Maesters,Allegiance,Allegiance
Jasper_Wylde,Greens,Allegiance,Allegiance
Orwyle,Maesters,Allegiance,Allegiance
Orwyle,Greens,Allegiance,Allegiance
High_Priestess_of_the_Dosh_Khaleen,Dosh_khaleen,Allegiance,Allegiance
High_Priest_of_R%27hllor,R%27hllor,Allegiance,Allegiance
Jason_Lannister,Greens,Allegiance,Allegiance
Eustace,Faith_of_the_Seven,Allegiance,Allegiance
Eustace,Greens,Allegiance,Allegiance
Dothraki_crone,Dosh_khaleen,Allegiance,Allegiance
Ornela,Dosh_khaleen,Allegiance,Allegiance
Vorian_Dayne,Night%27s_Watch,Allegiance,Allegiance
Rodrik_Flint,Night%27s_Watch,Allegiance,Allegiance
Errold_Holt,Night%27s_Watch,Allegiance,Allegiance
Damon_Morrigen,Faith_Militant,Allegiance,Allegiance
Corlys_Wells,Night%27s_Watch,Allegiance,Allegiance
Archmaester_(Eastwatch),Maesters,Allegiance,Allegiance
Archmaester_(Eastwatch),Conclave,Allegiance,Allegiance
The_Harpy,Great_Masters,Allegiance,Allegiance
The_Harpy,Sons_of_the_Harpy,Allegiance,Allegiance
Raymont_Baratheon,Kingsguard,Allegiance,Allegiance
Ulf_the_White,Blacks,Allegiance,Allegiance
Ulf_the_White,Greens,Allegiance,Allegiance
Hugh_Hammer,Blacks,Allegiance,Allegiance
Hugh_Hammer,Greens,Allegiance,Allegiance
Benedict_Blackmont,Night%27s_Watch,Allegiance,Allegiance
Mycah_Umber,Night%27s_Watch,Allegiance,Allegiance
Serwyn_Errol,Kingsguard,Allegiance,Allegiance
Nettles,Blacks,Allegiance,Allegiance
Oznak_zo_Pahl,Great_Masters,Allegiance,Allegiance
Greizhen_mo_Ullhor,Good_Masters,Allegiance,Allegiance
Jacaerys_Velaryon,Blacks,Allegiance,Allegiance
Laenor_Velaryon,Blacks,Allegiance,Allegiance
Joffrey_Velaryon,Blacks,Allegiance,Allegiance
Corlys_Velaryon,Blacks,Allegiance,Allegiance
Blood_(Former_Gold_Cloak),Blacks,Allegiance,Allegiance
Blood_(Former_Gold_Cloak),City_Watch_of_King%27s_Landing,Allegiance,Allegiance
Lucerys_Velaryon,Blacks,Allegiance,Allegiance
Cheese,Blacks,Allegiance,Allegiance
Jaehaera_Targaryen,Greens,Allegiance,Allegiance
Viserys_II_Targaryen,Blacks,Allegiance,Allegiance
Aemond_Targaryen,Greens,Allegiance,Allegiance
Aegon_III_Targaryen,Blacks,Allegiance,Allegiance
Kaeth,Maesters,Allegiance,Allegiance
Ryam_Redwyne,Kingsguard,Allegiance,Allegiance
Rhaenys_Targaryen_(Queen_Who_Never_Was),Blacks,Allegiance,Allegiance
Helaena_Targaryen,Greens,Allegiance,Allegiance
Alicent_Hightower,Greens,Allegiance,Allegiance
Barth,Faith_of_the_Seven,Allegiance,Allegiance
Runcel_Hightower,Night%27s_Watch,Allegiance,Allegiance
Dalton_Greyjoy,Blacks,Allegiance,Allegiance
Murmison,Faith_of_the_Seven,Allegiance,Allegiance
Tristan_Mudd,Night%27s_Watch,Allegiance,Allegiance
High_Septon_(Faith_Militant_uprising),Faith_of_the_Seven,Allegiance,Allegiance
High_Septon_(Faith_Militant_uprising),Faith_Militant,Allegiance,Allegiance
Larys_Strong,Greens,Allegiance,Allegiance
Marq_Rankenfell,Night%27s_Watch,Allegiance,Allegiance
Robin_Hill,Night%27s_Watch,Allegiance,Allegiance
Yandel,Maesters,Allegiance,Allegiance
Addam_Velaryon,Blacks,Allegiance,Allegiance
Hallyne,Alchemists%27_Guild,Allegiance,Allegiance
Hallyne,Iron_Throne,Allegiance,Allegiance
Smiling_Knight,Kingswood_Brotherhood,Allegiance,Allegiance
Simon_Toyne,Kingswood_Brotherhood,Allegiance,Allegiance
Eglantine,Faith_of_the_Seven,Allegiance,Allegiance
High_Septon_(War_of_Conquest),Faith_of_the_Seven,Allegiance,Allegiance
Bezzaq,Wise_Masters,Allegiance,Allegiance
Dezhor_zo_Raza,Great_Masters,Allegiance,Allegiance
Kieran,Second_Sons,Allegiance,Allegiance
Penn,Second_Sons,Allegiance,Allegiance
