Source,Target,Relation,Label
Bernarr_II_Justman,Drowned_God,Death,Death
Baelor_Targaryen,Faith_of_the_Seven,Death,Death
Cleon,Good_Masters,Death,Death
Raymont_Baratheon,Faith_Militant,Death,Death
Greizhen_mo_Ullhor,Unsullied,Death,Death
Nissa_Nissa,R%27hllor,Death,Death
Arson_Iceaxe,Night%27s_Watch,Death,Death
Murmison,Faith_Militant,Death,Death
Varly,City_Watch_of_King%27s_Landing,Death,Death
Maegor_Targaryen,Iron_Throne,Death,Death
Mag_Mar_Tun_Doh_Weg,Night%27s_Watch,Death,Death
Jafer_Flowers,Night%27s_Watch,Death,Death
Pycelle,Little_birds,Death,Death
Aegon_II_Targaryen,Small_Council,Death,Death
Second_Son,Sons_of_the_Harpy,Death,Death
Shireen_Baratheon,R%27hllor,Death,Death
Ray,Brotherhood_Without_Banners,Death,Death
Hizdahr_zo_Loraq,Sons_of_the_Harpy,Death,Death
Barristan_Selmy,Sons_of_the_Harpy,Death,Death
Temmo,Unsullied,Death,Death
White_Rat,Sons_of_the_Harpy,Death,Death
