Source,Target,Relation,Label
Cressen,Faith_of_the_Seven,Religion,Religion
Margaery_Tyrell,Faith_of_the_Seven,Religion,Religion
Brandon_Stark_(son_of_Rickard),Old_Gods_of_the_Forest,Religion,Religion
Elbert_Arryn,Faith_of_the_Seven,Religion,Religion
Kitty_Frey,Faith_of_the_Seven,Religion,Religion
Tion_Tarbeck,Faith_of_the_Seven,Religion,Religion
Ellyn_Reyne,Faith_of_the_Seven,Religion,Religion
Walderan_Tarbeck,Faith_of_the_Seven,Religion,Religion
Alys_Harroway,Faith_of_the_Seven,Religion,Religion
Qhored_Hoare,Drowned_God,Religion,Religion
Grey_King,Drowned_God,Religion,Religion
Raymun_Darry,Faith_of_the_Seven,Religion,Religion
Reynard_Reyne,Faith_of_the_Seven,Religion,Religion
Roger_Reyne,Faith_of_the_Seven,Religion,Religion
Night%27s_Queen,Great_Other,Religion,Religion
Hugor_of_the_Hill,Faith_of_the_Seven,Religion,Religion
Adrack_Humble,Drowned_God,Religion,Religion
Qhorwyn_Hoare,Drowned_God,Religion,Religion
Artys_I_Arryn,Faith_of_the_Seven,Religion,Religion
Baelor_Targaryen,Faith_of_the_Seven,Religion,Religion
Jhiqui,Great_Stallion,Religion,Religion
Loboda,Old_Gods_of_the_Forest,Religion,Religion
Karsi,Old_Gods_of_the_Forest,Religion,Religion
Jeffory_Mallister,Faith_of_the_Seven,Religion,Religion
Willa,Old_Gods_of_the_Forest,Religion,Religion
Johnna,Old_Gods_of_the_Forest,Religion,Religion
Styr,Old_Gods_of_the_Forest,Religion,Religion
Qotho,Great_Stallion,Religion,Religion
Smalljon_Umber,Old_Gods_of_the_Forest,Religion,Religion
Thenn_warg,Old_Gods_of_the_Forest,Religion,Religion
Mago,Great_Stallion,Religion,Religion
Haggo,Great_Stallion,Religion,Religion
Cohollo,Great_Stallion,Religion,Religion
Morgana_Umber,Old_Gods_of_the_Forest,Religion,Religion
Emilia_Umber,Old_Gods_of_the_Forest,Religion,Religion
Finn_Umber,Old_Gods_of_the_Forest,Religion,Religion
Brandon_Umber,Old_Gods_of_the_Forest,Religion,Religion
Leaf,Old_Gods_of_the_Forest,Religion,Religion
Three-Eyed_Raven,Old_Gods_of_the_Forest,Religion,Religion
Jhaqo,Great_Stallion,Religion,Religion
Ormund_Baratheon,Faith_of_the_Seven,Religion,Religion
Lyonel_Baratheon,Faith_of_the_Seven,Religion,Religion
Katrina_Umber,Old_Gods_of_the_Forest,Religion,Religion
Hollys_Umber,Old_Gods_of_the_Forest,Religion,Religion
Moro,Great_Stallion,Religion,Religion
Pono,Great_Stallion,Religion,Religion
Petra_Tallhart,Old_Gods_of_the_Forest,Religion,Religion
Tyrek_Tallhart,Old_Gods_of_the_Forest,Religion,Religion
Red_Priestess_(High_Sparrow),R%27hllor,Religion,Religion
