Source,Target,Relation,Label
Tyene_Sand,Ellaria_Sand,Allegiance,Allegiance
Ros,Varys,Allegiance,Allegiance
Ros,Petyr_Baelish,Allegiance,Allegiance
Jhiqui,Drogo,Allegiance,Allegiance
Loboda,Mance_Rayder,Allegiance,Allegiance
Karsi,Mance_Rayder,Allegiance,Allegiance
Wun_Weg_Wun_Dar_Wun,Mance_Rayder,Allegiance,Allegiance
Wun_Weg_Wun_Dar_Wun,Jon_Snow,Allegiance,Allegiance
White_Walker_(Hardhome),Night_King,Allegiance,Allegiance
Styr,Mance_Rayder,Allegiance,Allegiance
Qotho,Drogo,Allegiance,Allegiance
Mago,Drogo,Allegiance,Allegiance
Haggo,Drogo,Allegiance,Allegiance
Cohollo,Drogo,Allegiance,Allegiance
Leaf,Three-Eyed_Raven,Allegiance,Allegiance
Pono,Drogo,Allegiance,Allegiance
Sissy,Craster,Allegiance,Allegiance
Moro%27s_bloodrider_2,Moro,Allegiance,Allegiance
Aggo_(The_Red_Woman),Moro,Allegiance,Allegiance
Craster%27s_wife_3_(Oathkeeper),Craster,Allegiance,Allegiance
Craster%27s_wife_2_(Oathkeeper),Craster,Allegiance,Allegiance
Aggo_(The_North_Remembers),Drogo,Allegiance,Allegiance
Craster%27s_younger_wife_(Walk_of_Punishment),Craster,Allegiance,Allegiance
Craster%27s_wife_(Walk_of_Punishment),Craster,Allegiance,Allegiance
Morag,Craster,Allegiance,Allegiance
White_Walker_(The_Door),Night_King,Allegiance,Allegiance
Moro%27s_bloodrider_1,Moro,Allegiance,Allegiance
Moro%27s_wife_2,Moro,Allegiance,Allegiance
Moro%27s_wife_1,Moro,Allegiance,Allegiance
White_Walker_(Oathkeeper),Night_King,Allegiance,Allegiance
White_Walker_(Valar_Morghulis),Night_King,Allegiance,Allegiance
White_Walker_(The_Night_Lands),Night_King,Allegiance,Allegiance
White_Walker_(Winter_Is_Coming),Night_King,Allegiance,Allegiance
Harrag,Yara_Greyjoy,Allegiance,Allegiance
Dim_Dalba,Jon_Snow,Allegiance,Allegiance
Dim_Dalba,Mance_Rayder,Allegiance,Allegiance
Arthur_(little_bird),Qyburn,Allegiance,Allegiance
Arthur_(little_bird),Varys,Allegiance,Allegiance
Mhaegen,Petyr_Baelish,Allegiance,Allegiance
Daisy,Petyr_Baelish,Allegiance,Allegiance
Armeca,Petyr_Baelish,Allegiance,Allegiance
Frances,Varys,Allegiance,Allegiance
Frances,Qyburn,Allegiance,Allegiance
Bianca,Izembaro,Allegiance,Allegiance
Mummer_2,Izembaro,Allegiance,Allegiance
Ulf,Tyrion_Lannister,Allegiance,Allegiance
Chella,Tyrion_Lannister,Allegiance,Allegiance
Timett,Tyrion_Lannister,Allegiance,Allegiance
Gunthor,Tyrion_Lannister,Allegiance,Allegiance
Cragorn,Euron_Greyjoy,Allegiance,Allegiance
Wineseller,Varys,Allegiance,Allegiance
Little_Bird_(You_Win_or_You_Die),Varys,Allegiance,Allegiance
Shae,Tyrion_Lannister,Allegiance,Allegiance
Irri,Drogo,Allegiance,Allegiance
White_Walker_1_(Beyond_the_Wall),Night_King,Allegiance,Allegiance
Marei,Petyr_Baelish,Allegiance,Allegiance
Genna,Petyr_Baelish,Allegiance,Allegiance
"Slaver_(Unbowed,_Unbent,_Unbroken)",Malko,Allegiance,Allegiance
Whore_(The_Warrior),Petyr_Baelish,Allegiance,Allegiance
Whore_(Two_Swords),Petyr_Baelish,Allegiance,Allegiance
Male_prostitute,Petyr_Baelish,Allegiance,Allegiance
Gerald,Renly_Baratheon,Allegiance,Allegiance
Obara_Sand,Ellaria_Sand,Allegiance,Allegiance
Qhono,Moro,Allegiance,Allegiance
Nymeria_Sand,Ellaria_Sand,Allegiance,Allegiance
Mag_Mar_Tun_Doh_Weg,Mance_Rayder,Allegiance,Allegiance
King%27s_Landing_whore_(Lord_Snow),Petyr_Baelish,Allegiance,Allegiance
Pentoshi_servant,Illyrio_Mopatis,Allegiance,Allegiance
Rakharo,Drogo,Allegiance,Allegiance
Kovarro,Drogo,Allegiance,Allegiance
Emmon_Cuy,Renly_Baratheon,Allegiance,Allegiance
Robar_Royce,Renly_Baratheon,Allegiance,Allegiance
Gwayne_Gaunt,Aerys_II_Targaryen,Allegiance,Allegiance
Lewyn_Martell,Aerys_II_Targaryen,Allegiance,Allegiance
Gwayne_Corbray,Daeron_II_Targaryen,Allegiance,Allegiance
Aemon_Targaryen_(Dragonknight),Aegon_IV_Targaryen,Allegiance,Allegiance
Marston_Waters,Aegon_II_Targaryen,Allegiance,Allegiance
Erryk_Cargyll,Rhaenyra_Targaryen,Allegiance,Allegiance
Arryk_Cargyll,Aegon_II_Targaryen,Allegiance,Allegiance
Criston_Cole,Viserys_I_Targaryen,Allegiance,Allegiance
Criston_Cole,Aegon_II_Targaryen,Allegiance,Allegiance
Mandon_Moore,Robert_Baratheon,Allegiance,Allegiance
Mandon_Moore,Joffrey_Baratheon,Allegiance,Allegiance
Gerold_Hightower,Aerys_II_Targaryen,Allegiance,Allegiance
Boros_Blount,Cersei_Lannister,Allegiance,Allegiance
Boros_Blount,Tommen_Baratheon,Allegiance,Allegiance
Boros_Blount,Joffrey_Baratheon,Allegiance,Allegiance
Boros_Blount,Robert_Baratheon,Allegiance,Allegiance
Arthur_Dayne,Aerys_II_Targaryen,Allegiance,Allegiance
Yunkai%27i_slave_6,Daenerys_Targaryen,Allegiance,Allegiance
Yunkai%27i_slave_5,Daenerys_Targaryen,Allegiance,Allegiance
Yunkai%27i_slave_4,Daenerys_Targaryen,Allegiance,Allegiance
Yunkai%27i_slave_3,Daenerys_Targaryen,Allegiance,Allegiance
Yunkai%27i_slave_2,Daenerys_Targaryen,Allegiance,Allegiance
Yunkai%27i_slave_1,Daenerys_Targaryen,Allegiance,Allegiance
Little_Bird_(The_Mountain_and_the_Viper),Varys,Allegiance,Allegiance
Loras_Tyrell,Renly_Baratheon,Allegiance,Allegiance
Barristan_Selmy,Daenerys_Targaryen,Allegiance,Allegiance
Barristan_Selmy,Aerys_II_Targaryen,Allegiance,Allegiance
Barristan_Selmy,Robert_Baratheon,Allegiance,Allegiance
Barristan_Selmy,Joffrey_Baratheon,Allegiance,Allegiance
Drogo,Bharbo,Allegiance,Allegiance
Boat_commander,Salladhor_Saan,Allegiance,Allegiance
Robert_Baratheon,Jon_Arryn,Allegiance,Allegiance
