Source,Target,Relation,Label
Ludd_Whitehill,Karl_Whitehill,Children,Children
Ludd_Whitehill,Ebbert_Whitehill,Children,Children
Ludd_Whitehill,Torrhen_Whitehill,Children,Children
Ludd_Whitehill,Gwyn_Whitehill,Children,Children
Ludd_Whitehill,Gryff_Whitehill,Children,Children
Joanna_Lannister,Cersei_Lannister,Children,Children
Joanna_Lannister,Jaime_Lannister,Children,Children
Joanna_Lannister,Tyrion_Lannister,Children,Children
Gared%27s_father,Gared_Tuttle,Children,Children
Gared%27s_father,Gared%27s_sister,Children,Children
Robett_Glover,Gawen_Glover,Children,Children
Robett_Glover,Erena_Glover,Children,Children
Baelish_(founder),Baelish_(hedge_knight),Children,Children
Baelish_(hedge_knight),Lord_Baelish_(father_of_Petyr),Children,Children
Lord_Baelish_(father_of_Petyr),Petyr_Baelish,Children,Children
Ellyn_Reyne,Tion_Tarbeck,Children,Children
Walderan_Tarbeck,Tion_Tarbeck,Children,Children
Jeyne_Lannister,Tywin_Lannister,Children,Children
Jeyne_Lannister,Kevan_Lannister,Children,Children
Maekar_Targaryen,Aerion_Targaryen,Children,Children
Maekar_Targaryen,Aemon,Children,Children
Maekar_Targaryen,Aegon_V_Targaryen,Children,Children
Qhorwyn_Hoare,Harlan_Hoare,Children,Children
Qhorwyn_Hoare,Harwyn_Hoare,Children,Children
Naerys_Targaryen,Daeron_II_Targaryen,Children,Children
Naerys_Targaryen,Daenerys_Targaryen_(daughter_of_Aegon_IV),Children,Children
Karsi,Johnna,Children,Children
Karsi,Willa,Children,Children
Unnamed_miller%27s_wife,Ramsay_Bolton,Children,Children
Smalljon_Umber,Ned_Umber,Children,Children
Otto_Hightower,Alicent_Hightower,Children,Children
Ormund_Baratheon,Steffon_Baratheon,Children,Children
Lyonel_Baratheon,Ormund_Baratheon,Children,Children
Katrina_Umber,Maynard_Umber,Children,Children
Katrina_Umber,Cedric_Umber,Children,Children
Hollys_Umber,Brandon_Umber,Children,Children
Hollys_Umber,Kear_Umber,Children,Children
Hollys_Umber,Finn_Umber,Children,Children
Hollys_Umber,Emilia_Umber,Children,Children
Hollys_Umber,Morgana_Umber,Children,Children
Argella_Baratheon,Mychal_Baratheon,Children,Children
Argella_Baratheon,Theresa_Baratheon,Children,Children
Argella_Baratheon,Ethelide_Baratheon,Children,Children
Argella_Baratheon,Raymont_Baratheon,Children,Children
Petra_Tallhart,Hollys_Umber,Children,Children
Tyrek_Tallhart,Hollys_Umber,Children,Children
Medger_Cerwyn,Cley_Cerwyn,Children,Children
Cleos_Umber,Katrina_Umber,Children,Children
Vivian_Cerwyn,Katrina_Umber,Children,Children
Beric_Dayne,Arthur_Dayne,Children,Children
Beric_Dayne,Ashara_Dayne,Children,Children
Davos_Dayne,Dayne_(son_of_Davos),Children,Children
Vorian_Dayne,Davos_Dayne,Children,Children
Marya_Seaworth,Matthos_Seaworth,Children,Children
Selwyn_Tarth,Brienne_of_Tarth,Children,Children
Joseth_Umber,Maynard_Umber,Children,Children
Joseth_Umber,Cedric_Umber,Children,Children
Gareth_Umber,Brandon_Umber,Children,Children
Gareth_Umber,Kear_Umber,Children,Children
Gareth_Umber,Finn_Umber,Children,Children
Gareth_Umber,Emilia_Umber,Children,Children
Gareth_Umber,Morgana_Umber,Children,Children
Craster,Morag,Children,Children
Craster,Gilly,Children,Children
Craster,Sissy,Children,Children
Craster,Craster%27s_wife_2_(Oathkeeper),Children,Children
Craster,Craster%27s_wife_3_(Oathkeeper),Children,Children
Craster,Sam,Children,Children
Craster,Craster%27s_last_son,Children,Children
Mengo,Moro_(son_of_Mengo),Children,Children
Morag_Umber,Hothor_Umber,Children,Children
Daragh_Umber,Hothor_Umber,Children,Children
Amarylis_Umber,Harkon_Umber,Children,Children
Amarylis_Umber,Mycah_Umber,Children,Children
Amarylis_Umber,Lucan_Umber,Children,Children
Amarylis_Umber,Gareth_Umber,Children,Children
Amarylis_Umber,Joseth_Umber,Children,Children
Amarylis_Umber,Regan_Karstark,Children,Children
Amarylis_Umber,Corin_Umber,Children,Children
Hothor_Umber,Harkon_Umber,Children,Children
Hothor_Umber,Mycah_Umber,Children,Children
Hothor_Umber,Lucan_Umber,Children,Children
Hothor_Umber,Gareth_Umber,Children,Children
Hothor_Umber,Joseth_Umber,Children,Children
Hothor_Umber,Regan_Karstark,Children,Children
Hothor_Umber,Corin_Umber,Children,Children
Laenor_Velaryon,Jacaerys_Velaryon,Children,Children
Laenor_Velaryon,Lucerys_Velaryon,Children,Children
Laenor_Velaryon,Joffrey_Velaryon,Children,Children
Corlys_Velaryon,Laenor_Velaryon,Children,Children
Viserys_II_Targaryen,Aegon_IV_Targaryen,Children,Children
Viserys_II_Targaryen,Aemon_Targaryen_(Dragonknight),Children,Children
Viserys_II_Targaryen,Naerys_Targaryen,Children,Children
Aegon_III_Targaryen,Daeron_I_Targaryen,Children,Children
Aegon_III_Targaryen,Daena_Targaryen,Children,Children
Aegon_III_Targaryen,Rhaena_Targaryen_(daughter_of_Aegon_III),Children,Children
Aegon_III_Targaryen,Elaena_Targaryen,Children,Children
Daemon_I_Blackfyre,Aegon_Blackfyre,Children,Children
Daemon_I_Blackfyre,Aemon_Blackfyre,Children,Children
Daemon_I_Blackfyre,Daemon_II_Blackfyre,Children,Children
Rhaenys_Targaryen_(Queen_Who_Never_Was),Laenor_Velaryon,Children,Children
Helaena_Targaryen,Jaehaera_Targaryen,Children,Children
Helaena_Targaryen,Maelor_Targaryen,Children,Children
Alicent_Hightower,Aegon_II_Targaryen,Children,Children
Alicent_Hightower,Helaena_Targaryen,Children,Children
Alicent_Hightower,Aemond_Targaryen,Children,Children
Aenar_Targaryen,Daenys_Targaryen,Children,Children
Serena_Blackfyre,Aegon_Blackfyre,Children,Children
Serena_Blackfyre,Aemon_Blackfyre,Children,Children
Serena_Blackfyre,Daemon_II_Blackfyre,Children,Children
Dyanna_Dayne,Aerion_Targaryen,Children,Children
Dyanna_Dayne,Aemon,Children,Children
Dyanna_Dayne,Aegon_V_Targaryen,Children,Children
Leyton_Hightower,Alerie_Tyrell,Children,Children
Leyton_Hightower,Lynesse_Hightower,Children,Children
Alannys_Greyjoy,Rodrik_Greyjoy,Children,Children
Alannys_Greyjoy,Maron_Greyjoy,Children,Children
Alannys_Greyjoy,Yara_Greyjoy,Children,Children
Alannys_Greyjoy,Theon_Greyjoy,Children,Children
Minisa_Tully,Catelyn_Stark,Children,Children
Minisa_Tully,Lysa_Arryn,Children,Children
Minisa_Tully,Edmure_Tully,Children,Children
Roslin_Tully,Tully_(son_of_Edmure),Children,Children
Mhaegen,Barra,Children,Children
Cassana_Baratheon,Robert_Baratheon,Children,Children
Cassana_Baratheon,Stannis_Baratheon,Children,Children
Cassana_Baratheon,Renly_Baratheon,Children,Children
Melessa_Tarly,Samwell_Tarly,Children,Children
Melessa_Tarly,Talla_Tarly,Children,Children
Melessa_Tarly,Dickon_Tarly,Children,Children
Regan_Karstark,Berrican_Karstark,Children,Children
Regan_Karstark,Petyr_Karstark,Children,Children
Regan_Karstark,Jon_Karstark,Children,Children
Regan_Karstark,Laurence_Karstark,Children,Children
Mara_Karstark,Tommard_Karstark,Children,Children
Beric_Karstark,Tommard_Karstark,Children,Children
Tanda_Stokeworth,Falyse_Stokeworth,Children,Children
Tanda_Stokeworth,Lollys_Stokeworth,Children,Children
Stokeworth_(Lord),Falyse_Stokeworth,Children,Children
Stokeworth_(Lord),Lollys_Stokeworth,Children,Children
Tommard_Karstark,Berrican_Karstark,Children,Children
Tommard_Karstark,Petyr_Karstark,Children,Children
Tommard_Karstark,Jon_Karstark,Children,Children
Tommard_Karstark,Laurence_Karstark,Children,Children
Anya_Waynwood,Donnel_Waynwood,Children,Children
Harald_Karstark,Alys_Karstark,Children,Children
Sybelle_Glover,Gawen_Glover,Children,Children
Sybelle_Glover,Erena_Glover,Children,Children
Jasper_Arryn,Jon_Arryn,Children,Children
Aemma_Arryn,Rhaenyra_Targaryen,Children,Children
Sharra_Arryn,Ronnel_Arryn_(King),Children,Children
Dolf,Shagga,Children,Children
Cheyk,Chella,Children,Children
Thorren_Forrester,Gregor_Forrester,Children,Children
Talia_Branfield,Malcolm_Branfield,Children,Children
Talia_Branfield,Elissa_Forrester,Children,Children
Branfield_(Lord),Elissa_Forrester,Children,Children
Branfield_(Lord),Malcolm_Branfield,Children,Children
Gregor_Forrester,Josera_Snow,Children,Children
Gregor_Forrester,Elsera_Snow,Children,Children
Gregor_Forrester,Rodrik_Forrester,Children,Children
Gregor_Forrester,Asher_Forrester,Children,Children
Gregor_Forrester,Mira_Forrester,Children,Children
Gregor_Forrester,Ethan_Forrester,Children,Children
Gregor_Forrester,Talia_Forrester,Children,Children
Gregor_Forrester,Ryon_Forrester,Children,Children
Glenmore_(Lord),Elaena_Glenmore,Children,Children
Glenmore_(Lord),Arthur_Glenmore,Children,Children
Whitehill_(Lady),Karl_Whitehill,Children,Children
Whitehill_(Lady),Ebbert_Whitehill,Children,Children
Whitehill_(Lady),Torrhen_Whitehill,Children,Children
Whitehill_(Lady),Gwyn_Whitehill,Children,Children
Whitehill_(Lady),Gryff_Whitehill,Children,Children
Argilac_Durrandon,Argella_Baratheon,Children,Children
Orys_Baratheon,Mychal_Baratheon,Children,Children
Orys_Baratheon,Theresa_Baratheon,Children,Children
Orys_Baratheon,Ethelide_Baratheon,Children,Children
Orys_Baratheon,Raymont_Baratheon,Children,Children
Aenys_Targaryen,Aegon_Targaryen_(son_of_Aenys),Children,Children
Aenys_Targaryen,Rhaena_Targaryen_(daughter_of_Aenys),Children,Children
Aenys_Targaryen,Jaehaerys_I_Targaryen,Children,Children
Aenys_Targaryen,Alysanne_Targaryen,Children,Children
Meria_Martell,Nymor_Martell,Children,Children
Myriah_Martell,Baelor_Targaryen_(son_of_Daeron_II),Children,Children
Myriah_Martell,Aerys_I_Targaryen,Children,Children
Myriah_Martell,Aelinor_Targaryen,Children,Children
Myriah_Martell,Rhaegel_Targaryen,Children,Children
Nymeria,Martell_(daughter_of_Mors),Children,Children
Nymeria,Dayne_(son_of_Davos),Children,Children
Tytos_Lannister,Tywin_Lannister,Children,Children
Tytos_Lannister,Kevan_Lannister,Children,Children
Cynda_Lannister,Alton_Lannister,Children,Children
Dorna_Lannister,Lancel_Lannister,Children,Children
Dorna_Lannister,Martyn_Lannister,Children,Children
Dorna_Lannister,Willem_Lannister,Children,Children
Elissa_Forrester,Rodrik_Forrester,Children,Children
Elissa_Forrester,Asher_Forrester,Children,Children
Elissa_Forrester,Mira_Forrester,Children,Children
Elissa_Forrester,Ethan_Forrester,Children,Children
Elissa_Forrester,Talia_Forrester,Children,Children
Elissa_Forrester,Ryon_Forrester,Children,Children
Garth_Gardener,Harlon_the_Hunter,Children,Children
Garth_Gardener,Herndon_of_the_Horn,Children,Children
Luthor_Tyrell,Mace_Tyrell,Children,Children
Daemon_Targaryen,Aegon_III_Targaryen,Children,Children
Daemon_Targaryen,Viserys_II_Targaryen,Children,Children
Alerie_Tyrell,Loras_Tyrell,Children,Children
Alerie_Tyrell,Margaery_Tyrell,Children,Children
Elia_Martell,Rhaenys_Targaryen_(daughter_of_Rhaegar),Children,Children
Elia_Martell,Aegon_Targaryen_(son_of_Rhaegar_and_Elia),Children,Children
Steffon_Baratheon,Robert_Baratheon,Children,Children
Steffon_Baratheon,Stannis_Baratheon,Children,Children
Steffon_Baratheon,Renly_Baratheon,Children,Children
Harys_Swyft,Dorna_Lannister,Children,Children
Farlen,Palla,Children,Children
Vayon_Poole,Jeyne_Poole,Children,Children
Goatherd_(The_Children),Zalla,Children,Children
Wyman_Manderly,Wendel_Manderly,Children,Children
Yohn_Royce,Robar_Royce,Children,Children
Yohn_Royce,Waymar_Royce,Children,Children
Walda_Bolton,Bolton_(son_of_Roose),Children,Children
Doran_Martell,Trystane_Martell,Children,Children
Lyanna_Stark,Jon_Snow,Children,Children
Rickard_Stark,Brandon_Stark_(son_of_Rickard),Children,Children
Rickard_Stark,Eddard_Stark,Children,Children
Rickard_Stark,Lyanna_Stark,Children,Children
Rickard_Stark,Benjen_Stark,Children,Children
Maege_Mormont,Lyanna_Mormont,Children,Children
Rickard_Karstark,Harrion_Karstark,Children,Children
Rickard_Karstark,Torrhen_Karstark,Children,Children
Rickard_Karstark,Harald_Karstark,Children,Children
Jeor_Mormont,Jorah_Mormont,Children,Children
Guymon,Olly,Children,Children
Olly%27s_mother,Olly,Children,Children
Winterfell_shepherd,Jack,Children,Children
Winterfell_shepherd,Billy,Children,Children
Jon_Arryn,Robin_Arryn,Children,Children
Lysa_Arryn,Robin_Arryn,Children,Children
Rhaella_Targaryen,Rhaegar_Targaryen,Children,Children
Rhaella_Targaryen,Viserys_Targaryen,Children,Children
Rhaella_Targaryen,Daenerys_Targaryen,Children,Children
Randyll_Tarly,Samwell_Tarly,Children,Children
Randyll_Tarly,Talla_Tarly,Children,Children
Randyll_Tarly,Dickon_Tarly,Children,Children
Roose_Bolton,Domeric_Bolton,Children,Children
Roose_Bolton,Bolton_(son_of_Roose),Children,Children
Roose_Bolton,Ramsay_Bolton,Children,Children
Howland_Reed,Meera_Reed,Children,Children
Howland_Reed,Jojen_Reed,Children,Children
Bharbo,Drogo,Children,Children
Aegon_V_Targaryen,Duncan_Targaryen,Children,Children
Aegon_V_Targaryen,Aerys_II_Targaryen,Children,Children
Aegon_V_Targaryen,Rhaella_Targaryen,Children,Children
Aegon_V_Targaryen,Daeron_Targaryen_(son_of_Aegon_V),Children,Children
