Source,Target,Relation,Label
Luwin,Dagmer,Death,Death
Luwin,Osha,Death,Death
Margaery_Tyrell,Cersei_Lannister,Death,Death
Captured_wight,Jon_Snow,Death,Death
Tyene_Sand,Cersei_Lannister,Death,Death
Brandon_Stark_(son_of_Rickard),Aerys_II_Targaryen,Death,Death
Gryff_Whitehill,Rodrik_Forrester,Death,Death
Gryff_Whitehill,Rodrik_Forrester,Death,Death
Gryff_Whitehill,Asher_Forrester,Death,Death
Biter,Sandor_Clegane,Death,Death
Rorge,Arya_Stark,Death,Death
Ludd_Whitehill,Rodrik_Forrester,Death,Death
Ludd_Whitehill,Rodrik_Forrester,Death,Death
Ludd_Whitehill,Talia_Forrester,Death,Death
Polliver,Arya_Stark,Death,Death
Willem_Lannister,Rickard_Karstark,Death,Death
Martyn_Lannister,Rickard_Karstark,Death,Death
Alton_Lannister,Jaime_Lannister,Death,Death
Joanna_Lannister,Tyrion_Lannister,Death,Death
Gared%27s_sister,Britt_Warrick,Death,Death
Gared%27s_father,Britt_Warrick,Death,Death
Lady_Crane,Waif,Death,Death
Willem_Frey,Arya_Stark,Death,Death
The_Tickler,Jaqen_H%27ghar,Death,Death
Lord_of_Bones,Tormund,Death,Death
Ros,Joffrey_Baratheon,Death,Death
Dontos_Hollard,Petyr_Baelish,Death,Death
Elbert_Arryn,Aerys_II_Targaryen,Death,Death
Hugh,Gregor_Clegane,Death,Death
Ryger_Rivers,Arya_Stark,Death,Death
Talbot,Arya_Stark,Death,Death
Waldron_Frey,Arya_Stark,Death,Death
Malcolm,Arya_Stark,Death,Death
Joyeuse_Frey,Catelyn_Stark,Death,Death
Frey_soldier_1,Arya_Stark,Death,Death
Tion_Tarbeck,Tywin_Lannister,Death,Death
Ellyn_Reyne,Tywin_Lannister,Death,Death
Knight_of_House_Frey,Arya_Stark,Death,Death
Raymun_Darry,Gregor_Clegane,Death,Death
Reynard_Reyne,Tywin_Lannister,Death,Death
Roger_Reyne,Tywin_Lannister,Death,Death
Bernarr_II_Justman,Qhored_Hoare,Death,Death
Night%27s_Queen,Brandon_Stark_(the_Breaker),Death,Death
Rhaego,Mirri_Maz_Duur,Death,Death
Loboda,White_Walker_(Hardhome),Death,Death
Jeffory_Mallister,Aerys_II_Targaryen,Death,Death
Jaehaerys_Targaryen_(son_of_Aegon_II),Blood_(Former_Gold_Cloak),Death,Death
Wun_Weg_Wun_Dar_Wun,Ramsay_Bolton,Death,Death
White_Walker_(Hardhome),Jon_Snow,Death,Death
Styr,Jon_Snow,Death,Death
Qotho,Jorah_Mormont,Death,Death
Qotho,Daenerys_Targaryen,Death,Death
Smalljon_Umber,Tormund,Death,Death
Orell,Jon_Snow,Death,Death
Thenn_warg,Samwell_Tarly,Death,Death
Mago,Drogo,Death,Death
Leaf,Bran_Stark,Death,Death
Three-Eyed_Raven,Night_King,Death,Death
Old_man,Ygritte,Death,Death
Moro,Daenerys_Targaryen,Death,Death
Lyman_Beesbury,Criston_Cole,Death,Death
Medger_Cerwyn,Ramsay_Bolton,Death,Death
Moro%27s_bloodrider_2,Daenerys_Targaryen,Death,Death
Aggo_(The_Red_Woman),Daario_Naharis,Death,Death
Cleon,Daenerys_Targaryen,Death,Death
Iggo,Daario_Naharis,Death,Death
White_Walker_(The_Door),Meera_Reed,Death,Death
Moro%27s_bloodrider_1,Daenerys_Targaryen,Death,Death
Brozho,Daenerys_Targaryen,Death,Death
Rhalko,Daenerys_Targaryen,Death,Death
Craster,Karl_Tanner,Death,Death
Forzho,Daenerys_Targaryen,Death,Death
Qorro,Daenerys_Targaryen,Death,Death
White_Walker_(Valar_Morghulis),Samwell_Tarly,Death,Death
Mycah,Sandor_Clegane,Death,Death
Mycah,Joffrey_Baratheon,Death,Death
Oznak_zo_Pahl,Daario_Naharis,Death,Death
Prendahl_na_Ghezn,Daario_Naharis,Death,Death
Greizhen_mo_Ullhor,Daenerys_Targaryen,Death,Death
Mero,Daario_Naharis,Death,Death
Qyle_Corbray,Robar_II_Royce,Death,Death
Aemond_Targaryen,Daemon_Targaryen,Death,Death
Mirri_Maz_Duur,Drogo,Death,Death
Mirri_Maz_Duur,Daenerys_Targaryen,Death,Death
Maelys_Blackfyre,Barristan_Selmy,Death,Death
Daemon_I_Blackfyre,Brynden_Rivers,Death,Death
Kyle_Royce,Aerys_II_Targaryen,Death,Death
Rhaenys_Targaryen_(Queen_Who_Never_Was),Aegon_II_Targaryen,Death,Death
Rhaenys_Targaryen_(Queen_Who_Never_Was),Aemond_Targaryen,Death,Death
Baelor_Targaryen_(son_of_Daeron_II),Maekar_Targaryen,Death,Death
Aegon_Targaryen_(son_of_Rhaegar_and_Elia),Gregor_Clegane,Death,Death
Ralf_Kenning,Adrack_Humble,Death,Death
Griffin_King,Winged_Knight,Death,Death
