Source,Target,Relation,Label
Margaery_Tyrell,Mace_Tyrell,Father,Father
Tyene_Sand,Oberyn_Martell,Father,Father
Brandon_Stark_(son_of_Rickard),Rickard_Stark,Father,Father
Elaena_Glenmore,Glenmore_(Lord),Father,Father
Gryff_Whitehill,Ludd_Whitehill,Father,Father
Ryon_Forrester,Gregor_Forrester,Father,Father
Willem_Lannister,Kevan_Lannister,Father,Father
Martyn_Lannister,Kevan_Lannister,Father,Father
Harrion_Karstark,Rickard_Karstark,Father,Father
Baratheon_(son_of_Robert),Robert_Baratheon,Father,Father
Baelish_(hedge_knight),Baelish_(founder),Father,Father
Lord_Baelish_(father_of_Petyr),Baelish_(hedge_knight),Father,Father
Ryger_Rivers,Walder_Frey,Father,Father
Waldron_Frey,Walder_Frey,Father,Father
Tully_(son_of_Edmure),Edmure_Tully,Father,Father
Tion_Tarbeck,Walderan_Tarbeck,Father,Father
Maekar_Targaryen,Daeron_II_Targaryen,Father,Father
Herndon_of_the_Horn,Garth_Gardener,Father,Father
Baelor_Targaryen,Aegon_III_Targaryen,Father,Father
Daeron_Targaryen_(son_of_Aegon_V),Aegon_V_Targaryen,Father,Father
Shiera_Seastar,Aegon_IV_Targaryen,Father,Father
Naerys_Targaryen,Viserys_II_Targaryen,Father,Father
Rhaego,Drogo,Father,Father
Elaena_Targaryen,Aegon_III_Targaryen,Father,Father
Rhaena_Targaryen_(daughter_of_Aegon_III),Aegon_III_Targaryen,Father,Father
Maelor_Targaryen,Aegon_II_Targaryen,Father,Father
Jaehaerys_Targaryen_(son_of_Aegon_II),Aegon_II_Targaryen,Father,Father
Cedric_Umber,Joseth_Umber,Father,Father
Maynard_Umber,Joseth_Umber,Father,Father
Morgana_Umber,Gareth_Umber,Father,Father
Emilia_Umber,Gareth_Umber,Father,Father
Finn_Umber,Gareth_Umber,Father,Father
Kear_Umber,Gareth_Umber,Father,Father
Brandon_Umber,Gareth_Umber,Father,Father
Ormund_Baratheon,Lyonel_Baratheon,Father,Father
Katrina_Umber,Cleos_Umber,Father,Father
Hollys_Umber,Tyrek_Tallhart,Father,Father
Mychal_Baratheon,Orys_Baratheon,Father,Father
Sissy,Craster,Father,Father
Argella_Baratheon,Argilac_Durrandon,Father,Father
Craster%27s_wife_3_(Oathkeeper),Craster,Father,Father
Craster%27s_wife_2_(Oathkeeper),Craster,Father,Father
Dayne_(son_of_Davos),Davos_Dayne,Father,Father
Davos_Dayne,Vorian_Dayne,Father,Father
Craster%27s_younger_wife_(Walk_of_Punishment),Craster,Father,Father
Craster%27s_wife_(Walk_of_Punishment),Craster,Father,Father
Craster%27s_last_son,Craster,Father,Father
Morag,Craster,Father,Father
Moro_(son_of_Mengo),Mengo,Father,Father
Raymont_Baratheon,Orys_Baratheon,Father,Father
Ethelide_Baratheon,Orys_Baratheon,Father,Father
Theresa_Baratheon,Orys_Baratheon,Father,Father
Corin_Umber,Hothor_Umber,Father,Father
Joseth_Umber,Hothor_Umber,Father,Father
Gareth_Umber,Hothor_Umber,Father,Father
Lucan_Umber,Hothor_Umber,Father,Father
Mycah_Umber,Hothor_Umber,Father,Father
Harkon_Umber,Hothor_Umber,Father,Father
Ned_Umber,Smalljon_Umber,Father,Father
Jacaerys_Velaryon,Laenor_Velaryon,Father,Father
Laenor_Velaryon,Corlys_Velaryon,Father,Father
Joffrey_Velaryon,Laenor_Velaryon,Father,Father
Lucerys_Velaryon,Laenor_Velaryon,Father,Father
Harlan_Hoare,Qhorwyn_Hoare,Father,Father
Jaehaera_Targaryen,Aegon_II_Targaryen,Father,Father
Viserys_II_Targaryen,Daemon_Targaryen,Father,Father
Aemond_Targaryen,Viserys_I_Targaryen,Father,Father
Aegon_III_Targaryen,Daemon_Targaryen,Father,Father
Daemon_I_Blackfyre,Aegon_IV_Targaryen,Father,Father
Helaena_Targaryen,Viserys_I_Targaryen,Father,Father
Alicent_Hightower,Otto_Hightower,Father,Father
Aegon_Targaryen_(son_of_Aenys),Aenys_Targaryen,Father,Father
Rhaena_Targaryen_(daughter_of_Aenys),Aenys_Targaryen,Father,Father
Daenys_Targaryen,Aenar_Targaryen,Father,Father
Daena_Targaryen,Aegon_III_Targaryen,Father,Father
Aelinor_Targaryen,Daeron_II_Targaryen,Father,Father
Baelor_Targaryen_(son_of_Daeron_II),Daeron_II_Targaryen,Father,Father
Aegon_Targaryen_(son_of_Rhaegar_and_Elia),Rhaegar_Targaryen,Father,Father
Harwyn_Hoare,Qhorwyn_Hoare,Father,Father
Harlon_the_Hunter,Garth_Gardener,Father,Father
Maron_Greyjoy,Balon_Greyjoy,Father,Father
Rodrik_Greyjoy,Balon_Greyjoy,Father,Father
Roslin_Tully,Walder_Frey,Father,Father
Stevron_Frey,Walder_Frey,Father,Father
Lollys_Stokeworth,Stokeworth_(Lord),Father,Father
Jon_Karstark,Tommard_Karstark,Father,Father
Laurence_Karstark,Tommard_Karstark,Father,Father
Petyr_Karstark,Tommard_Karstark,Father,Father
Berrican_Karstark,Tommard_Karstark,Father,Father
Barra,Robert_Baratheon,Father,Father
Talla_Tarly,Randyll_Tarly,Father,Father
Regan_Karstark,Hothor_Umber,Father,Father
Falyse_Stokeworth,Stokeworth_(Lord),Father,Father
Tommard_Karstark,Beric_Karstark,Father,Father
Cley_Cerwyn,Medger_Cerwyn,Father,Father
Waldra_Frey,Walder_Frey,Father,Father
Walda_Frey_(The_Rains_of_Castamere),Walder_Frey,Father,Father
Shirei_Frey,Walder_Frey,Father,Father
Derwa_Frey,Walder_Frey,Father,Father
Arwaya_Frey,Walder_Frey,Father,Father
Alys_Karstark,Harald_Karstark,Father,Father
Harald_Karstark,Rickard_Karstark,Father,Father
Erena_Glover,Robett_Glover,Father,Father
Gawen_Glover,Robett_Glover,Father,Father
Chella,Cheyk,Father,Father
Shagga,Dolf,Father,Father
Malcolm_Branfield,Branfield_(Lord),Father,Father
Daeron_I_Targaryen,Aegon_III_Targaryen,Father,Father
Josera_Snow,Gregor_Forrester,Father,Father
Gregor_Forrester,Thorren_Forrester,Father,Father
Torrhen_Whitehill,Ludd_Whitehill,Father,Father
Ethan_Forrester,Gregor_Forrester,Father,Father
Ebbert_Whitehill,Ludd_Whitehill,Father,Father
Karl_Whitehill,Ludd_Whitehill,Father,Father
Arthur_Glenmore,Glenmore_(Lord),Father,Father
Rhaegel_Targaryen,Daeron_II_Targaryen,Father,Father
Aerys_I_Targaryen,Daeron_II_Targaryen,Father,Father
Aenys_Targaryen,Aegon_I_Targaryen,Father,Father
Daenerys_Targaryen_(daughter_of_Aegon_IV),Aegon_IV_Targaryen,Father,Father
Martell_(daughter_of_Mors),Mors_Martell,Father,Father
Sam,Craster,Father,Father
Sam,Samwell_Tarly,Father,Father
Sarella_Sand,Oberyn_Martell,Father,Father
Loreza_Sand,Oberyn_Martell,Father,Father
Dorea_Sand,Oberyn_Martell,Father,Father
