Source,Target,Relation,Label
Elaena_Glenmore,Rodrik_Forrester,Lovers,Lovers
Ellyn_Reyne,Tywald_Lannister,Lovers,Lovers
Night%27s_Queen,Night%27s_King,Lovers,Lovers
Shiera_Seastar,Brynden_Rivers,Lovers,Lovers
Nettles,Daemon_Targaryen,Lovers,Lovers
Daena_Targaryen,Aegon_IV_Targaryen,Lovers,Lovers
Tess,Dalton_Greyjoy,Lovers,Lovers
Florian,Jonquil,Lovers,Lovers
Bethany_Bracken,Aegon_IV_Targaryen,Lovers,Lovers
Bethany_Bracken,Terrence_Toyne,Lovers,Lovers
Jonquil,Florian,Lovers,Lovers
Kyra,Ramsay_Bolton,Lovers,Lovers
Shae,Tywin_Lannister,Lovers,Lovers
Shae,Tyrion_Lannister,Lovers,Lovers
Gwyn_Whitehill,Asher_Forrester,Lovers,Lovers
Asher_Forrester,Gwyn_Whitehill,Lovers,Lovers
Rodrik_Forrester,Elaena_Glenmore,Lovers,Lovers
Daemon_Targaryen,Nettles,Lovers,Lovers
Violet,Ramsay_Bolton,Lovers,Lovers
Tansy,Ramsay_Bolton,Lovers,Lovers
Ygritte,Jon_Snow,Lovers,Lovers
Brynden_Rivers,Shiera_Seastar,Lovers,Lovers
Lynesse_Hightower,Tregar_Ormollen,Lovers,Lovers
Tregar_Ormollen,Lynesse_Hightower,Lovers,Lovers
Myranda,Ramsay_Bolton,Lovers,Lovers
Ramsay_Bolton,Myranda,Lovers,Lovers
Ramsay_Bolton,Violet,Lovers,Lovers
Ramsay_Bolton,Tansy,Lovers,Lovers
Ramsay_Bolton,Kyra,Lovers,Lovers
Xaro_Xhoan_Daxos,Doreah,Lovers,Lovers
Osha,Bruni,Lovers,Lovers
Terrence_Toyne,Bethany_Bracken,Lovers,Lovers
Aegon_IV_Targaryen,Daena_Targaryen,Lovers,Lovers
Aegon_IV_Targaryen,Bethany_Bracken,Lovers,Lovers
Night%27s_King,Night%27s_Queen,Lovers,Lovers
Olyvar,Loras_Tyrell,Lovers,Lovers
Loras_Tyrell,Renly_Baratheon,Lovers,Lovers
Loras_Tyrell,Olyvar,Lovers,Lovers
Lancel_Lannister,Cersei_Lannister,Lovers,Lovers
Oberyn_Martell,Ellaria_Sand,Lovers,Lovers
Daario_Naharis,Daenerys_Targaryen,Lovers,Lovers
Renly_Baratheon,Loras_Tyrell,Lovers,Lovers
Stannis_Baratheon,Melisandre,Lovers,Lovers
Doreah,Xaro_Xhoan_Daxos,Lovers,Lovers
Melisandre,Stannis_Baratheon,Lovers,Lovers
Samwell_Tarly,Gilly,Lovers,Lovers
Gilly,Samwell_Tarly,Lovers,Lovers
Grey_Worm,Missandei,Lovers,Lovers
Missandei,Grey_Worm,Lovers,Lovers
Ellaria_Sand,Oberyn_Martell,Lovers,Lovers
Daenerys_Targaryen,Daario_Naharis,Lovers,Lovers
Daenerys_Targaryen,Jon_Snow,Lovers,Lovers
Tywin_Lannister,Shae,Lovers,Lovers
Tyrion_Lannister,Shae,Lovers,Lovers
Jaime_Lannister,Cersei_Lannister,Lovers,Lovers
Cersei_Lannister,Jaime_Lannister,Lovers,Lovers
Cersei_Lannister,Lancel_Lannister,Lovers,Lovers
Jon_Snow,Daenerys_Targaryen,Lovers,Lovers
Jon_Snow,Ygritte,Lovers,Lovers
