Source,Target,Relation,Label
Margaery_Tyrell,Alerie_Tyrell,Mother,Mother
Tyene_Sand,Ellaria_Sand,Mother,Mother
Gryff_Whitehill,Whitehill_(Lady),Mother,Mother
Ryon_Forrester,Elissa_Forrester,Mother,Mother
Willem_Lannister,Dorna_Lannister,Mother,Mother
Martyn_Lannister,Dorna_Lannister,Mother,Mother
Alton_Lannister,Cynda_Lannister,Mother,Mother
Baratheon_(son_of_Robert),Cersei_Lannister,Mother,Mother
Tully_(son_of_Edmure),Roslin_Tully,Mother,Mother
Tion_Tarbeck,Ellyn_Reyne,Mother,Mother
Maekar_Targaryen,Myriah_Martell,Mother,Mother
Daemon_II_Blackfyre,Serena_Blackfyre,Mother,Mother
Rhaego,Daenerys_Targaryen,Mother,Mother
Maelor_Targaryen,Helaena_Targaryen,Mother,Mother
Jaehaerys_Targaryen_(son_of_Aegon_II),Helaena_Targaryen,Mother,Mother
Willa,Karsi,Mother,Mother
Johnna,Karsi,Mother,Mother
Cedric_Umber,Katrina_Umber,Mother,Mother
Maynard_Umber,Katrina_Umber,Mother,Mother
Morgana_Umber,Hollys_Umber,Mother,Mother
Emilia_Umber,Hollys_Umber,Mother,Mother
Finn_Umber,Hollys_Umber,Mother,Mother
Kear_Umber,Hollys_Umber,Mother,Mother
Brandon_Umber,Hollys_Umber,Mother,Mother
Katrina_Umber,Vivian_Cerwyn,Mother,Mother
Hollys_Umber,Petra_Tallhart,Mother,Mother
Mychal_Baratheon,Argella_Baratheon,Mother,Mother
Dayne_(son_of_Davos),Nymeria,Mother,Mother
Raymont_Baratheon,Argella_Baratheon,Mother,Mother
Ethelide_Baratheon,Argella_Baratheon,Mother,Mother
Theresa_Baratheon,Argella_Baratheon,Mother,Mother
Corin_Umber,Amarylis_Umber,Mother,Mother
Joseth_Umber,Amarylis_Umber,Mother,Mother
Gareth_Umber,Amarylis_Umber,Mother,Mother
Lucan_Umber,Amarylis_Umber,Mother,Mother
Mycah_Umber,Amarylis_Umber,Mother,Mother
Harkon_Umber,Amarylis_Umber,Mother,Mother
Hothor_Umber,Morag_Umber,Mother,Mother
Jacaerys_Velaryon,Rhaenyra_Targaryen,Mother,Mother
Laenor_Velaryon,Rhaenys_Targaryen_(Queen_Who_Never_Was),Mother,Mother
Joffrey_Velaryon,Rhaenyra_Targaryen,Mother,Mother
Lucerys_Velaryon,Rhaenyra_Targaryen,Mother,Mother
Jaehaera_Targaryen,Helaena_Targaryen,Mother,Mother
Viserys_II_Targaryen,Rhaenyra_Targaryen,Mother,Mother
Aemond_Targaryen,Alicent_Hightower,Mother,Mother
Aegon_III_Targaryen,Rhaenyra_Targaryen,Mother,Mother
Daemon_I_Blackfyre,Daena_Targaryen,Mother,Mother
Helaena_Targaryen,Alicent_Hightower,Mother,Mother
Aemon_Blackfyre,Serena_Blackfyre,Mother,Mother
Aegon_Blackfyre,Serena_Blackfyre,Mother,Mother
Aelinor_Targaryen,Myriah_Martell,Mother,Mother
Baelor_Targaryen_(son_of_Daeron_II),Myriah_Martell,Mother,Mother
Aegon_Targaryen_(son_of_Rhaegar_and_Elia),Elia_Martell,Mother,Mother
Maron_Greyjoy,Alannys_Greyjoy,Mother,Mother
Rodrik_Greyjoy,Alannys_Greyjoy,Mother,Mother
Lollys_Stokeworth,Tanda_Stokeworth,Mother,Mother
Jon_Karstark,Regan_Karstark,Mother,Mother
Laurence_Karstark,Regan_Karstark,Mother,Mother
Petyr_Karstark,Regan_Karstark,Mother,Mother
Berrican_Karstark,Regan_Karstark,Mother,Mother
Barra,Mhaegen,Mother,Mother
Regan_Karstark,Amarylis_Umber,Mother,Mother
Falyse_Stokeworth,Tanda_Stokeworth,Mother,Mother
Tommard_Karstark,Mara_Karstark,Mother,Mother
Donnel_Waynwood,Anya_Waynwood,Mother,Mother
Erena_Glover,Sybelle_Glover,Mother,Mother
Gawen_Glover,Sybelle_Glover,Mother,Mother
Ronnel_Arryn_(King),Sharra_Arryn,Mother,Mother
Malcolm_Branfield,Talia_Branfield,Mother,Mother
Torrhen_Whitehill,Whitehill_(Lady),Mother,Mother
Ethan_Forrester,Elissa_Forrester,Mother,Mother
Ebbert_Whitehill,Whitehill_(Lady),Mother,Mother
Karl_Whitehill,Whitehill_(Lady),Mother,Mother
Rhaegel_Targaryen,Myriah_Martell,Mother,Mother
Aerys_I_Targaryen,Myriah_Martell,Mother,Mother
Aenys_Targaryen,Rhaenys_Targaryen_(sister_of_Aegon_I),Mother,Mother
Daenerys_Targaryen_(daughter_of_Aegon_IV),Naerys_Targaryen,Mother,Mother
Nymor_Martell,Meria_Martell,Mother,Mother
Martell_(daughter_of_Mors),Nymeria,Mother,Mother
Sam,Gilly,Mother,Mother
Loreza_Sand,Ellaria_Sand,Mother,Mother
Dorea_Sand,Ellaria_Sand,Mother,Mother
Obella_Sand,Ellaria_Sand,Mother,Mother
Elia_Sand,Ellaria_Sand,Mother,Mother
Maegor_Targaryen,Visenya_Targaryen,Mother,Mother
Gwyn_Whitehill,Whitehill_(Lady),Mother,Mother
Elissa_Forrester,Talia_Branfield,Mother,Mother
Talia_Forrester,Elissa_Forrester,Mother,Mother
Asher_Forrester,Elissa_Forrester,Mother,Mother
Rodrik_Forrester,Elissa_Forrester,Mother,Mother
Mira_Forrester,Elissa_Forrester,Mother,Mother
Dickon_Tarly,Melessa_Tarly,Mother,Mother
Edric_Baratheon,Selyse_Baratheon,Mother,Mother
Tommard_Baratheon,Selyse_Baratheon,Mother,Mother
Petyr_Baratheon,Selyse_Baratheon,Mother,Mother
Bolton_(son_of_Roose),Walda_Bolton,Mother,Mother
Robin_Arryn,Lysa_Arryn,Mother,Mother
Olyvar_Frey,Joyeuse_Frey,Mother,Mother
Olyvar_Frey,Kitty_Frey,Mother,Mother
Olly,Olly%27s_mother,Mother,Mother
Lysa_Arryn,Minisa_Tully,Mother,Mother
Rickon_Stark,Catelyn_Stark,Mother,Mother
Rhaenys_Targaryen_(daughter_of_Rhaegar),Elia_Martell,Mother,Mother
Aemon,Dyanna_Dayne,Mother,Mother
Viserys_Targaryen,Rhaella_Targaryen,Mother,Mother
Aerion_Targaryen,Dyanna_Dayne,Mother,Mother
Aegon_V_Targaryen,Dyanna_Dayne,Mother,Mother
Daeron_II_Targaryen,Naerys_Targaryen,Mother,Mother
Rhaenyra_Targaryen,Aemma_Arryn,Mother,Mother
Aegon_II_Targaryen,Alicent_Hightower,Mother,Mother
Robb_Stark,Catelyn_Stark,Mother,Mother
Mace_Tyrell,Olenna_Tyrell,Mother,Mother
Kevan_Lannister,Jeyne_Lannister,Mother,Mother
Loras_Tyrell,Alerie_Tyrell,Mother,Mother
Lancel_Lannister,Dorna_Lannister,Mother,Mother
Dom,Vala,Mother,Mother
Renly_Baratheon,Cassana_Baratheon,Mother,Mother
Matthos_Seaworth,Marya_Seaworth,Mother,Mother
Stannis_Baratheon,Cassana_Baratheon,Mother,Mother
Robert_Baratheon,Cassana_Baratheon,Mother,Mother
Catelyn_Stark,Minisa_Tully,Mother,Mother
Theon_Greyjoy,Alannys_Greyjoy,Mother,Mother
Yara_Greyjoy,Alannys_Greyjoy,Mother,Mother
Rhaegar_Targaryen,Rhaella_Targaryen,Mother,Mother
Daenerys_Targaryen,Rhaella_Targaryen,Mother,Mother
Tommen_Baratheon,Cersei_Lannister,Mother,Mother
Myrcella_Baratheon,Cersei_Lannister,Mother,Mother
Joffrey_Baratheon,Cersei_Lannister,Mother,Mother
Tyrion_Lannister,Joanna_Lannister,Mother,Mother
Jaime_Lannister,Joanna_Lannister,Mother,Mother
Cersei_Lannister,Joanna_Lannister,Mother,Mother
Lyanna_Mormont,Maege_Mormont,Mother,Mother
Edmure_Tully,Minisa_Tully,Mother,Mother
Bran_Stark,Catelyn_Stark,Mother,Mother
Sansa_Stark,Catelyn_Stark,Mother,Mother
Jon_Snow,Lyanna_Stark,Mother,Mother
