Source,Target,Relation,Label
Qyburn,Varys,Predecessor,Predecessor
Qyburn,Kevan_Lannister,Predecessor,Predecessor
Maekar_Targaryen,Aerys_I_Targaryen,Predecessor,Predecessor
Baelor_Targaryen,Daeron_I_Targaryen,Predecessor,Predecessor
Lyman_Beesbury,Daemon_Targaryen,Predecessor,Predecessor
Hothor_Umber,Daragh_Umber,Predecessor,Predecessor
Ned_Umber,Smalljon_Umber,Predecessor,Predecessor
Aegon_III_Targaryen,Aegon_II_Targaryen,Predecessor,Predecessor
Harwyn_Hoare,Qhorwyn_Hoare,Predecessor,Predecessor
Murmison,Maegor_Targaryen,Predecessor,Predecessor
Edmyn_Tully,Orys_Baratheon,Predecessor,Predecessor
Cley_Cerwyn,Medger_Cerwyn,Predecessor,Predecessor
Alys_Karstark,Harald_Karstark,Predecessor,Predecessor
Harald_Karstark,Rickard_Karstark,Predecessor,Predecessor
Daeron_I_Targaryen,Aegon_III_Targaryen,Predecessor,Predecessor
Gregor_Forrester,Thorren_Forrester,Predecessor,Predecessor
Torrhen_Whitehill,Ludd_Whitehill,Predecessor,Predecessor
Ethan_Forrester,Gregor_Forrester,Predecessor,Predecessor
Aerys_I_Targaryen,Daeron_II_Targaryen,Predecessor,Predecessor
Aenys_Targaryen,Aegon_I_Targaryen,Predecessor,Predecessor
Owen_Merryweather,Tywin_Lannister,Predecessor,Predecessor
Nymeria,Mors_Martell,Predecessor,Predecessor
Martell_(daughter_of_Mors),Nymeria,Predecessor,Predecessor
Tyland_Lannister,Lyman_Beesbury,Predecessor,Predecessor
Asher_Forrester,Rodrik_Forrester,Predecessor,Predecessor
Rodrik_Forrester,Ethan_Forrester,Predecessor,Predecessor
Brynden_Rivers,Baelor_Targaryen_(son_of_Daeron_II),Predecessor,Predecessor
Robin_Arryn,Jon_Arryn,Predecessor,Predecessor
Rossart,Qarlton_Chelsted,Predecessor,Predecessor
Qarlton_Chelsted,Jon_Connington,Predecessor,Predecessor
Jon_Connington,Owen_Merryweather,Predecessor,Predecessor
Cregan_Stark,Criston_Cole,Predecessor,Predecessor
Torrhen_Stark,Theon_Stark,Predecessor,Predecessor
Rickard_Stark_(King),Jon_Stark,Predecessor,Predecessor
Dorren_Stark,Brandon_Stark_(the_Breaker),Predecessor,Predecessor
Theon_Stark,Rickard_Stark_(King),Predecessor,Predecessor
Rodrik_Stark,Dorren_Stark,Predecessor,Predecessor
Maege_Mormont,Jorah_Mormont,Predecessor,Predecessor
Alliser_Thorne,Jeor_Mormont,Predecessor,Predecessor
Alliser_Thorne,Benjen_Stark,Predecessor,Predecessor
Alliser_Thorne,Jon_Snow,Predecessor,Predecessor
Eddison_Tollett,Alliser_Thorne,Predecessor,Predecessor
Ramsay_Bolton,Roose_Bolton,Predecessor,Predecessor
Jon_Arryn,Jasper_Arryn,Predecessor,Predecessor
Jon_Arryn,Rossart,Predecessor,Predecessor
Jon_Arryn,Aerys_II_Targaryen,Predecessor,Predecessor
Roose_Bolton,Eddard_Stark,Predecessor,Predecessor
Roose_Bolton,Robb_Stark,Predecessor,Predecessor
Daeron_II_Targaryen,Aegon_IV_Targaryen,Predecessor,Predecessor
Aegon_IV_Targaryen,Viserys_II_Targaryen,Predecessor,Predecessor
Criston_Cole,Otto_Hightower,Predecessor,Predecessor
Aegon_II_Targaryen,Viserys_I_Targaryen,Predecessor,Predecessor
Viserys_I_Targaryen,Jaehaerys_I_Targaryen,Predecessor,Predecessor
Aerys_II_Targaryen,Aegon_V_Targaryen,Predecessor,Predecessor
Gerold_Hightower,Duncan_the_Tall,Predecessor,Predecessor
Robb_Stark,Torrhen_Stark,Predecessor,Predecessor
Robb_Stark,Eddard_Stark,Predecessor,Predecessor
Walder_Frey,Edmure_Tully,Predecessor,Predecessor
Mace_Tyrell,Luthor_Tyrell,Predecessor,Predecessor
Mace_Tyrell,Stannis_Baratheon,Predecessor,Predecessor
Mace_Tyrell,Tyrion_Lannister,Predecessor,Predecessor
Kevan_Lannister,Tywin_Lannister,Predecessor,Predecessor
Eddard_Stark,Rickard_Stark,Predecessor,Predecessor
Eddard_Stark,Jon_Arryn,Predecessor,Predecessor
High_Septon_(After_the_riot_of_King%27s_Landing),High_Septon_(Before_the_riot_of_King%27s_Landing),Predecessor,Predecessor
High_Sparrow,High_Septon_(After_the_riot_of_King%27s_Landing),Predecessor,Predecessor
Barristan_Selmy,Gerold_Hightower,Predecessor,Predecessor
Renly_Baratheon,Robert_Baratheon,Predecessor,Predecessor
Stannis_Baratheon,Renly_Baratheon,Predecessor,Predecessor
Robert_Baratheon,Steffon_Baratheon,Predecessor,Predecessor
Robert_Baratheon,Aerys_II_Targaryen,Predecessor,Predecessor
Jorah_Mormont,Jeor_Mormont,Predecessor,Predecessor
Euron_Greyjoy,Balon_Greyjoy,Predecessor,Predecessor
Petyr_Baelish,Qarlton_Chelsted,Predecessor,Predecessor
Petyr_Baelish,Janos_Slynt,Predecessor,Predecessor
Yara_Greyjoy,Balon_Greyjoy,Predecessor,Predecessor
Daenerys_Targaryen,Stannis_Baratheon,Predecessor,Predecessor
Tommen_Baratheon,Joffrey_Baratheon,Predecessor,Predecessor
Tommen_Baratheon,Stannis_Baratheon,Predecessor,Predecessor
Joffrey_Baratheon,Robert_Baratheon,Predecessor,Predecessor
Joffrey_Baratheon,Renly_Baratheon,Predecessor,Predecessor
Tywin_Lannister,Tytos_Lannister,Predecessor,Predecessor
Tywin_Lannister,Tyrion_Lannister,Predecessor,Predecessor
Tywin_Lannister,Joffrey_Baratheon,Predecessor,Predecessor
Tyrion_Lannister,Eddard_Stark,Predecessor,Predecessor
Tyrion_Lannister,Petyr_Baelish,Predecessor,Predecessor
Jaime_Lannister,Barristan_Selmy,Predecessor,Predecessor
Cersei_Lannister,Tommen_Baratheon,Predecessor,Predecessor
Cersei_Lannister,Tywin_Lannister,Predecessor,Predecessor
Lyanna_Mormont,Maege_Mormont,Predecessor,Predecessor
Edmure_Tully,Hoster_Tully,Predecessor,Predecessor
Bran_Stark,Three-Eyed_Raven,Predecessor,Predecessor
Sansa_Stark,Ramsay_Bolton,Predecessor,Predecessor
