Source,Target,Relation,Label
Margaery_Tyrell,Loras_Tyrell,Siblings,Siblings
Tyene_Sand,Elia_Sand,Siblings,Siblings
Tyene_Sand,Obella_Sand,Siblings,Siblings
Tyene_Sand,Dorea_Sand,Siblings,Siblings
Tyene_Sand,Loreza_Sand,Siblings,Siblings
Tyene_Sand,Obara_Sand,Siblings,Siblings
Tyene_Sand,Nymeria_Sand,Siblings,Siblings
Tyene_Sand,Sarella_Sand,Siblings,Siblings
Brandon_Stark_(son_of_Rickard),Eddard_Stark,Siblings,Siblings
Brandon_Stark_(son_of_Rickard),Lyanna_Stark,Siblings,Siblings
Brandon_Stark_(son_of_Rickard),Benjen_Stark,Siblings,Siblings
Elaena_Glenmore,Arthur_Glenmore,Siblings,Siblings
Gryff_Whitehill,Karl_Whitehill,Siblings,Siblings
Gryff_Whitehill,Ebbert_Whitehill,Siblings,Siblings
Gryff_Whitehill,Torrhen_Whitehill,Siblings,Siblings
Gryff_Whitehill,Gwyn_Whitehill,Siblings,Siblings
Ryon_Forrester,Rodrik_Forrester,Siblings,Siblings
Ryon_Forrester,Asher_Forrester,Siblings,Siblings
Ryon_Forrester,Mira_Forrester,Siblings,Siblings
Ryon_Forrester,Ethan_Forrester,Siblings,Siblings
Ryon_Forrester,Talia_Forrester,Siblings,Siblings
Ryon_Forrester,Josera_Snow,Siblings,Siblings
Ryon_Forrester,Elsera_Snow,Siblings,Siblings
Willem_Lannister,Lancel_Lannister,Siblings,Siblings
Willem_Lannister,Martyn_Lannister,Siblings,Siblings
Martyn_Lannister,Lancel_Lannister,Siblings,Siblings
Martyn_Lannister,Willem_Lannister,Siblings,Siblings
Stafford_Lannister,Joanna_Lannister,Siblings,Siblings
Joanna_Lannister,Stafford_Lannister,Siblings,Siblings
Gared%27s_sister,Gared_Tuttle,Siblings,Siblings
Gared%27s_father,Duncan_Tuttle,Siblings,Siblings
Robett_Glover,Galbart_Glover,Siblings,Siblings
Harrion_Karstark,Torrhen_Karstark,Siblings,Siblings
Harrion_Karstark,Harald_Karstark,Siblings,Siblings
Baratheon_(son_of_Robert),Joffrey_Baratheon,Siblings,Siblings
Baratheon_(son_of_Robert),Myrcella_Baratheon,Siblings,Siblings
Baratheon_(son_of_Robert),Tommen_Baratheon,Siblings,Siblings
Baratheon_(son_of_Robert),Gendry,Siblings,Siblings
Baratheon_(son_of_Robert),Barra,Siblings,Siblings
Ryger_Rivers,Stevron_Frey,Siblings,Siblings
Ryger_Rivers,Lothar_Frey,Siblings,Siblings
Ryger_Rivers,Olyvar_Frey,Siblings,Siblings
