Source,Target,Relation,Label
Margaery_Tyrell,Renly_Baratheon,Spouse,Spouse
Margaery_Tyrell,Joffrey_Baratheon,Spouse,Spouse
Margaery_Tyrell,Tommen_Baratheon,Spouse,Spouse
Ludd_Whitehill,Whitehill_(Lady),Spouse,Spouse
Joanna_Lannister,Tywin_Lannister,Spouse,Spouse
Robett_Glover,Sybelle_Glover,Spouse,Spouse
Tysha,Tyrion_Lannister,Spouse,Spouse
Joyeuse_Frey,Walder_Frey,Spouse,Spouse
Kitty_Frey,Walder_Frey,Spouse,Spouse
Ellyn_Reyne,Tion_Lannister,Spouse,Spouse
Ellyn_Reyne,Walderan_Tarbeck,Spouse,Spouse
Walderan_Tarbeck,Ellyn_Reyne,Spouse,Spouse
Alys_Harroway,Maegor_Targaryen,Spouse,Spouse
Tion_Lannister,Ellyn_Reyne,Spouse,Spouse
Jeyne_Lannister,Tytos_Lannister,Spouse,Spouse
Maekar_Targaryen,Dyanna_Dayne,Spouse,Spouse
Naerys_Targaryen,Aegon_IV_Targaryen,Spouse,Spouse
Katrina_Umber,Joseth_Umber,Spouse,Spouse
Hollys_Umber,Gareth_Umber,Spouse,Spouse
Moro,Moro%27s_wife_1,Spouse,Spouse
Moro,Moro%27s_wife_2,Spouse,Spouse
Sissy,Craster,Spouse,Spouse
Monica_Baratheon,Orys_Baratheon,Spouse,Spouse
Argella_Baratheon,Orys_Baratheon,Spouse,Spouse
Petra_Tallhart,Tyrek_Tallhart,Spouse,Spouse
Tyrek_Tallhart,Petra_Tallhart,Spouse,Spouse
Cleos_Umber,Vivian_Cerwyn,Spouse,Spouse
Vivian_Cerwyn,Cleos_Umber,Spouse,Spouse
Johanna_Lannister,Jason_Lannister,Spouse,Spouse
High_Priestess_of_the_Dosh_Khaleen,Savo,Spouse,Spouse
Craster%27s_wife_3_(Oathkeeper),Craster,Spouse,Spouse
Craster%27s_wife_2_(Oathkeeper),Craster,Spouse,Spouse
Jason_Lannister,Johanna_Lannister,Spouse,Spouse
Savo,High_Priestess_of_the_Dosh_Khaleen,Spouse,Spouse
Davos_Dayne,Nymeria,Spouse,Spouse
Marya_Seaworth,Davos_Seaworth,Spouse,Spouse
Craster%27s_younger_wife_(Walk_of_Punishment),Craster,Spouse,Spouse
Craster%27s_wife_(Walk_of_Punishment),Craster,Spouse,Spouse
Morag,Craster,Spouse,Spouse
Moro%27s_wife_2,Moro,Spouse,Spouse
Moro%27s_wife_1,Moro,Spouse,Spouse
Joseth_Umber,Katrina_Umber,Spouse,Spouse
Gareth_Umber,Hollys_Umber,Spouse,Spouse
Craster,Morag,Spouse,Spouse
Craster,Gilly,Spouse,Spouse
Craster,Sissy,Spouse,Spouse
Craster,Craster%27s_wife_2_(Oathkeeper),Spouse,Spouse
Craster,Craster%27s_wife_3_(Oathkeeper),Spouse,Spouse
Morag_Umber,Daragh_Umber,Spouse,Spouse
Daragh_Umber,Morag_Umber,Spouse,Spouse
Amarylis_Umber,Hothor_Umber,Spouse,Spouse
Hothor_Umber,Amarylis_Umber,Spouse,Spouse
Laenor_Velaryon,Rhaenyra_Targaryen,Spouse,Spouse
Corlys_Velaryon,Rhaenys_Targaryen_(Queen_Who_Never_Was),Spouse,Spouse
Jaehaera_Targaryen,Aegon_III_Targaryen,Spouse,Spouse
Aegon_III_Targaryen,Jaehaera_Targaryen,Spouse,Spouse
Daemon_I_Blackfyre,Serena_Blackfyre,Spouse,Spouse
Rhaenys_Targaryen_(Queen_Who_Never_Was),Corlys_Velaryon,Spouse,Spouse
Helaena_Targaryen,Aegon_II_Targaryen,Spouse,Spouse
Alysanne_Targaryen,Jaehaerys_I_Targaryen,Spouse,Spouse
Alicent_Hightower,Viserys_I_Targaryen,Spouse,Spouse
Aegon_Targaryen_(son_of_Aenys),Rhaena_Targaryen_(daughter_of_Aenys),Spouse,Spouse
Rhaena_Targaryen_(daughter_of_Aenys),Aegon_Targaryen_(son_of_Aenys),Spouse,Spouse
