Source,Target,Relation,Label
Ludd_Whitehill,Torrhen_Whitehill,Successor,Successor
Maekar_Targaryen,Aegon_V_Targaryen,Successor,Successor
Baelor_Targaryen,Viserys_II_Targaryen,Successor,Successor
Smalljon_Umber,Ned_Umber,Successor,Successor
Otto_Hightower,Criston_Cole,Successor,Successor
Lyman_Beesbury,Tyland_Lannister,Successor,Successor
Medger_Cerwyn,Cley_Cerwyn,Successor,Successor
Daragh_Umber,Hothor_Umber,Successor,Successor
Viserys_II_Targaryen,Aegon_IV_Targaryen,Successor,Successor
Aegon_III_Targaryen,Daeron_I_Targaryen,Successor,Successor
Ryam_Redwyne,Criston_Cole,Successor,Successor
Baelor_Targaryen_(son_of_Daeron_II),Brynden_Rivers,Successor,Successor
Harald_Karstark,Alys_Karstark,Successor,Successor
Jasper_Arryn,Jon_Arryn,Successor,Successor
Thorren_Forrester,Gregor_Forrester,Successor,Successor
Gregor_Forrester,Ethan_Forrester,Successor,Successor
Ethan_Forrester,Rodrik_Forrester,Successor,Successor
Orys_Baratheon,Edmyn_Tully,Successor,Successor
Owen_Merryweather,Jon_Connington,Successor,Successor
Nymeria,Martell_(daughter_of_Mors),Successor,Successor
Jon_Stark,Rickard_Stark_(King),Successor,Successor
High_Septon_(Before_the_riot_of_King%27s_Landing),High_Septon_(After_the_riot_of_King%27s_Landing),Successor,Successor
Maegor_Targaryen,Jaehaerys_I_Targaryen,Successor,Successor
Tytos_Lannister,Tywin_Lannister,Successor,Successor
Rodrik_Forrester,Asher_Forrester,Successor,Successor
Luthor_Tyrell,Mace_Tyrell,Successor,Successor
Daemon_Targaryen,Lyman_Beesbury,Successor,Successor
Jaehaerys_I_Targaryen,Viserys_I_Targaryen,Successor,Successor
Galbart_Glover,Robett_Glover,Successor,Successor
Rossart,Jon_Arryn,Successor,Successor
Rossart,Robert_Baratheon,Successor,Successor
Qarlton_Chelsted,Rossart,Successor,Successor
Qarlton_Chelsted,Petyr_Baelish,Successor,Successor
Jon_Connington,Qarlton_Chelsted,Successor,Successor
Rickard_Stark,Eddard_Stark,Successor,Successor
Cregan_Stark,Tyland_Lannister,Successor,Successor
Torrhen_Stark,Robb_Stark,Successor,Successor
Rickard_Stark_(King),Theon_Stark,Successor,Successor
Dorren_Stark,Rodrik_Stark,Successor,Successor
Theon_Stark,Torrhen_Stark,Successor,Successor
Rodrik_Stark,Rickard_Stark_(King),Successor,Successor
Maege_Mormont,Lyanna_Mormont,Successor,Successor
Rickard_Karstark,Harald_Karstark,Successor,Successor
Jeor_Mormont,Alliser_Thorne,Successor,Successor
Jeor_Mormont,Jorah_Mormont,Successor,Successor
Alliser_Thorne,Jon_Snow,Successor,Successor
Alliser_Thorne,Eddison_Tollett,Successor,Successor
Janos_Slynt,Petyr_Baelish,Successor,Successor
Janos_Slynt,Bronn,Successor,Successor
Ramsay_Bolton,Sansa_Stark,Successor,Successor
Ramsay_Bolton,Jon_Snow,Successor,Successor
Jon_Arryn,Robin_Arryn,Successor,Successor
Jon_Arryn,Eddard_Stark,Successor,Successor
Jon_Arryn,Robert_Baratheon,Successor,Successor
Roose_Bolton,Ramsay_Bolton,Successor,Successor
Duncan_the_Tall,Gerold_Hightower,Successor,Successor
Aegon_V_Targaryen,Aerys_II_Targaryen,Successor,Successor
Daeron_II_Targaryen,Aerys_I_Targaryen,Successor,Successor
Aegon_IV_Targaryen,Daeron_II_Targaryen,Successor,Successor
Criston_Cole,Cregan_Stark,Successor,Successor
Aegon_II_Targaryen,Aegon_III_Targaryen,Successor,Successor
Viserys_I_Targaryen,Aegon_II_Targaryen,Successor,Successor
Gerold_Hightower,Barristan_Selmy,Successor,Successor
Robb_Stark,Jon_Snow,Successor,Successor
Robb_Stark,Roose_Bolton,Successor,Successor
Kevan_Lannister,Qyburn,Successor,Successor
Balon_Greyjoy,Euron_Greyjoy,Successor,Successor
Hoster_Tully,Edmure_Tully,Successor,Successor
Eddard_Stark,Roose_Bolton,Successor,Successor
Eddard_Stark,Robb_Stark,Successor,Successor
Eddard_Stark,Tywin_Lannister,Successor,Successor
High_Septon_(After_the_riot_of_King%27s_Landing),High_Sparrow,Successor,Successor
Barristan_Selmy,Jaime_Lannister,Successor,Successor
Renly_Baratheon,Stannis_Baratheon,Successor,Successor
Stannis_Baratheon,Mace_Tyrell,Successor,Successor
Stannis_Baratheon,Daenerys_Targaryen,Successor,Successor
Robert_Baratheon,Renly_Baratheon,Successor,Successor
Robert_Baratheon,Joffrey_Baratheon,Successor,Successor
Jorah_Mormont,Maege_Mormont,Successor,Successor
Petyr_Baelish,Tyrion_Lannister,Successor,Successor
Varys,Qyburn,Successor,Successor
Varys,Tommen_Baratheon,Successor,Successor
Tommen_Baratheon,Cersei_Lannister,Successor,Successor
Joffrey_Baratheon,Tommen_Baratheon,Successor,Successor
Tywin_Lannister,Cersei_Lannister,Successor,Successor
Tywin_Lannister,Jon_Connington,Successor,Successor
Tywin_Lannister,Aerys_II_Targaryen,Successor,Successor
Tywin_Lannister,Kevan_Lannister,Successor,Successor
Tywin_Lannister,Tommen_Baratheon,Successor,Successor
Tyrion_Lannister,Tywin_Lannister,Successor,Successor
Tyrion_Lannister,Mace_Tyrell,Successor,Successor
Benjen_Stark,Alliser_Thorne,Successor,Successor
Cersei_Lannister,Margaery_Tyrell,Successor,Successor
Edmure_Tully,Walder_Frey,Successor,Successor
