Source,Target,Relation,Label
Captured_wight,White_Walkers,Allegiance,Allegiance
Lord_of_Bones,Free_Folk,Allegiance,Allegiance
Night%27s_Queen,White_Walkers,Allegiance,Allegiance
Karsi,Free_Folk,Allegiance,Allegiance
Karsi,White_Walkers,Allegiance,Allegiance
Wun_Weg_Wun_Dar_Wun,Free_Folk,Allegiance,Allegiance
Willa,Free_Folk,Allegiance,Allegiance
Johnna,Free_Folk,Allegiance,Allegiance
Styr,Free_Folk,Allegiance,Allegiance
Dongo,Free_Folk,Allegiance,Allegiance
Orell,Free_Folk,Allegiance,Allegiance
Thenn_warg,Free_Folk,Allegiance,Allegiance
Sylvi,Free_Folk,Allegiance,Allegiance
Leaf,Children_of_the_Forest,Allegiance,Allegiance
Three-Eyed_Raven,Children_of_the_Forest,Allegiance,Allegiance
Dothraki_crone,Dothraki,Allegiance,Allegiance
Craster%27s_last_son,White_Walkers,Allegiance,Allegiance
Gendel,Free_Folk,Allegiance,Allegiance
Wildling_girl,Free_Folk,Allegiance,Allegiance
Wildling_girl,White_Walkers,Allegiance,Allegiance
Gorne,Free_Folk,Allegiance,Allegiance
Arson_Iceaxe,Free_Folk,Allegiance,Allegiance
Dim_Dalba,Free_Folk,Allegiance,Allegiance
Horned_Lord,Free_Folk,Allegiance,Allegiance
Raymun_Redbeard,Free_Folk,Allegiance,Allegiance
Garin_the_Great,Rhoynar,Allegiance,Allegiance
Nymeria,Rhoynar,Allegiance,Allegiance
First_King,First_Men,Allegiance,Allegiance
Wallen,Free_Folk,Allegiance,Allegiance
Stiv,Free_Folk,Allegiance,Allegiance
Child_of_the_Forest_2_(The_Children),Children_of_the_Forest,Allegiance,Allegiance
Ygritte,Free_Folk,Allegiance,Allegiance
Mag_Mar_Tun_Doh_Weg,Free_Folk,Allegiance,Allegiance
Jafer_Flowers,White_Walkers,Allegiance,Allegiance
Othor,White_Walkers,Allegiance,Allegiance
Joramun,Free_Folk,Allegiance,Allegiance
Cotter,Free_Folk,Allegiance,Allegiance
Finn,White_Walkers,Allegiance,Allegiance
Mance_Rayder,Free_Folk,Allegiance,Allegiance
Bruni,Free_Folk,Allegiance,Allegiance
Kullback,Free_Folk,Allegiance,Allegiance
Night%27s_King,White_Walkers,Allegiance,Allegiance
Dothraki_pit_fighter,Dothraki,Allegiance,Allegiance
Child_of_the_Forest_3,Children_of_the_Forest,Allegiance,Allegiance
White_Walker_2_(Beyond_the_Wall),White_Walkers,Allegiance,Allegiance
White_Walker_(The_Dragon_and_the_Wolf),White_Walkers,Allegiance,Allegiance
Night_King,White_Walkers,Allegiance,Allegiance
Night_King,First_Men,Allegiance,Allegiance
Tormund,Free_Folk,Allegiance,Allegiance
