Source,Target,Relation,Label
Bear_Island_maester,Northmen,Culture,Culture
Margaery_Tyrell,Andals,Culture,Culture
Captured_wight,Free_Folk,Culture,Culture
Tyene_Sand,Dornishmen,Culture,Culture
Brandon_Stark_(son_of_Rickard),Northmen,Culture,Culture
Elaena_Glenmore,Northmen,Culture,Culture
Gryff_Whitehill,Northmen,Culture,Culture
Ryon_Forrester,Northmen,Culture,Culture
Ludd_Whitehill,Northmen,Culture,Culture
Alton_Lannister,Andals,Culture,Culture
Joanna_Lannister,Andals,Culture,Culture
Gared%27s_sister,Northmen,Culture,Culture
Gared%27s_father,Northmen,Culture,Culture
Thermund,Northmen,Culture,Culture
Norren,Northmen,Culture,Culture
Lothor_Brune,Andals,Culture,Culture
Robett_Glover,Northmen,Culture,Culture
Harrion_Karstark,Northmen,Culture,Culture
Lord_of_Bones,Free_Folk,Culture,Culture
Ros,Northmen,Culture,Culture
Dontos_Hollard,Andals,Culture,Culture
Elbert_Arryn,Andals,Culture,Culture
Hugh,Andals,Culture,Culture
Tully_(son_of_Edmure),Andals,Culture,Culture
Kitty_Frey,Andals,Culture,Culture
Tion_Tarbeck,Andals,Culture,Culture
Ellyn_Reyne,Andals,Culture,Culture
Walderan_Tarbeck,Andals,Culture,Culture
Qhored_Hoare,Ironborn,Culture,Culture
Grey_King,Ironborn,Culture,Culture
Raymun_Darry,Andals,Culture,Culture
Tion_Lannister,Andals,Culture,Culture
Tywald_Lannister,Andals,Culture,Culture
Reynard_Reyne,Andals,Culture,Culture
Roger_Reyne,Andals,Culture,Culture
Night%27s_Queen,White_Walkers,Culture,Culture
Herndon_of_the_Horn,First_Men,Culture,Culture
Jaremy_Mallister,Andals,Culture,Culture
Adrack_Humble,Ironborn,Culture,Culture
Qhorwyn_Hoare,Ironborn,Culture,Culture
Jhiqui,Dothraki,Culture,Culture
Karsi,Free_Folk,Culture,Culture
Wun_Weg_Wun_Dar_Wun,Giants,Culture,Culture
Willa,Free_Folk,Culture,Culture
Johnna,Free_Folk,Culture,Culture
White_Walker_(Hardhome),White_Walkers,Culture,Culture
Unnamed_miller%27s_wife,Northmen,Culture,Culture
Qotho,Dothraki,Culture,Culture
Smalljon_Umber,Northmen,Culture,Culture
Dongo,Giants,Culture,Culture
Orell,Free_Folk,Culture,Culture
Mago,Dothraki,Culture,Culture
Haggo,Dothraki,Culture,Culture
Cohollo,Dothraki,Culture,Culture
Tommy,Northmen,Culture,Culture
Sylvi,Free_Folk,Culture,Culture
Cedric_Umber,Northmen,Culture,Culture
Maynard_Umber,Northmen,Culture,Culture
Morgana_Umber,Northmen,Culture,Culture
Emilia_Umber,Northmen,Culture,Culture
Finn_Umber,Northmen,Culture,Culture
Kear_Umber,Northmen,Culture,Culture
Brandon_Umber,Northmen,Culture,Culture
Leaf,Children_of_the_Forest,Culture,Culture
Jhaqo,Dothraki,Culture,Culture
Ormund_Baratheon,Andals,Culture,Culture
Lyonel_Baratheon,Andals,Culture,Culture
Katrina_Umber,Northmen,Culture,Culture
Hollys_Umber,Northmen,Culture,Culture
Old_man,Northmen,Culture,Culture
Moro,Dothraki,Culture,Culture
Pono,Dothraki,Culture,Culture
Sissy,Free_Folk,Culture,Culture
Argella_Baratheon,Andals,Culture,Culture
Petra_Tallhart,Northmen,Culture,Culture
Tyrek_Tallhart,Northmen,Culture,Culture
Medger_Cerwyn,Northmen,Culture,Culture
Cleos_Umber,Northmen,Culture,Culture
Vivian_Cerwyn,Northmen,Culture,Culture
Johanna_Lannister,Andals,Culture,Culture
High_Priestess_of_the_Dosh_Khaleen,Dothraki,Culture,Culture
Moro%27s_bloodrider_2,Dothraki,Culture,Culture
Aggo_(The_Red_Woman),Dothraki,Culture,Culture
Cleon,Ghiscari,Culture,Culture
Craster%27s_wife_3_(Oathkeeper),Free_Folk,Culture,Culture
Craster%27s_wife_2_(Oathkeeper),Free_Folk,Culture,Culture
Wylla,Dornishmen,Culture,Culture
Jason_Lannister,Andals,Culture,Culture
Dothraki_crone,Dothraki,Culture,Culture
Ornela,Dothraki,Culture,Culture
Ornela,Lhazareen,Culture,Culture
Savo,Dothraki,Culture,Culture
Beric_Dayne,Dornishmen,Culture,Culture
Dayne_(son_of_Davos),Dornishmen,Culture,Culture
Davos_Dayne,Dornishmen,Culture,Culture
Vorian_Dayne,Dornishmen,Culture,Culture
Marlin_Dormund,Northmen,Culture,Culture
Rodrik_Flint,Northmen,Culture,Culture
Mazin_(Lord),Northmen,Culture,Culture
Errold_Holt,Northmen,Culture,Culture
Hallis_Mollen,Northmen,Culture,Culture
Richard_Lonmouth,Andals,Culture,Culture
Aggo_(The_North_Remembers),Dothraki,Culture,Culture
Iggo,Dothraki,Culture,Culture
Craster%27s_younger_wife_(Walk_of_Punishment),Free_Folk,Culture,Culture
Craster%27s_wife_(Walk_of_Punishment),Free_Folk,Culture,Culture
Craster%27s_last_son,White_Walkers,Culture,Culture
Craster%27s_last_son,Free_Folk,Culture,Culture
Morag,Free_Folk,Culture,Culture
White_Walker_(The_Door),White_Walkers,Culture,Culture
Humfrey_Beesbury,Andals,Culture,Culture
Moro%27s_bloodrider_1,Dothraki,Culture,Culture
The_Harpy,Ghiscari,Culture,Culture
Moro%27s_wife_2,Dothraki,Culture,Culture
Moro%27s_wife_1,Dothraki,Culture,Culture
Moro_(son_of_Mengo),Dothraki,Culture,Culture
Raymont_Baratheon,Valyrians,Culture,Culture
Corin_Umber,Northmen,Culture,Culture
Joseth_Umber,Northmen,Culture,Culture
Gareth_Umber,Northmen,Culture,Culture
Deziel_Dalt,Dornishmen,Culture,Culture
Benedict_Blackmont,Dornishmen,Culture,Culture
Blackmont_(Lord),Dornishmen,Culture,Culture
Brozho,Dothraki,Culture,Culture
Rhalko,Dothraki,Culture,Culture
