Source,Target,Relation,Label
Leaf,Wights,Death,Death
Mazor_Alexi,Dothraki,Death,Death
Haro,Sarnori,Death,Death
Wildling_girl,White_Walkers,Death,Death
Willis_Wode,Hill_tribes,Death,Death
Kurleket,Hill_tribes,Death,Death
Rhaenys_Targaryen_(sister_of_Aegon_I),Dornishmen,Death,Death
First_King,Children_of_the_Forest,Death,Death
Borba,Free_Folk,Death,Death
Harker,Free_Folk,Death,Death
Stonesnake,Free_Folk,Death,Death
Hodor,Wights,Death,Death
Night%27s_King,Free_Folk,Death,Death
Rognar_II_Greyiron,Andals,Death,Death
Child_of_the_Forest_3,White_Walkers,Death,Death
Benjen_Stark,Wights,Death,Death
