Source,Target,Relation,Label
Ornela,Great_Shepherd,Religion,Religion
Mirri_Maz_Duur,Great_Shepherd,Religion,Religion
Dezhor_zo_Raza,Ghiscari_religion,Religion,Religion
Goatherd_(The_Children),Ghiscari_religion,Religion,Religion
Slave_(Breaker_of_Chains),Ghiscari_religion,Religion,Religion
Calla,Ghiscari_religion,Religion,Religion
Ghita,Many-Faced_God,Religion,Religion
Syrio_Forel,Many-Faced_God,Religion,Religion
Fighting_pit_announcer,Ghiscari_religion,Religion,Religion
Razdal_mo_Eraz,Ghiscari_religion,Religion,Religion
Hizdahr_zo_Loraq,Ghiscari_religion,Religion,Religion
Waif,Many-Faced_God,Religion,Religion
Jaqen_H%27ghar,Many-Faced_God,Religion,Religion
Meereenese_homeless_mother,Ghiscari_religion,Religion,Religion
Arya_Stark,Many-Faced_God,Religion,Religion
