Source,Target,Relation,Label
Qyburn,Season_3,SeenOrMentioned,Season(s)
Qyburn,Season_4,SeenOrMentioned,Season(s)
Qyburn,Season_5,SeenOrMentioned,Season(s)
Qyburn,Season_6,SeenOrMentioned,Season(s)
Qyburn,Season_7,SeenOrMentioned,Season(s)
Qyburn,Season_8,SeenOrMentioned,Season(s)
Luwin,Season_1,SeenOrMentioned,Season(s)
Luwin,Season_2,SeenOrMentioned,Season(s)
Wolkan,Season_6,SeenOrMentioned,Season(s)
Wolkan,Season_7,SeenOrMentioned,Season(s)
Bear_Island_maester,Season_6,SeenOrMentioned,Season(s)
Cressen,Season_2,SeenOrMentioned,Season(s)
Margaery_Tyrell,Season_2,SeenOrMentioned,Season(s)
Margaery_Tyrell,Season_3,SeenOrMentioned,Season(s)
Margaery_Tyrell,Season_4,SeenOrMentioned,Season(s)
Margaery_Tyrell,Season_5,SeenOrMentioned,Season(s)
Margaery_Tyrell,Season_6,SeenOrMentioned,Season(s)
Volarik,Season_4,SeenOrMentioned,Season(s)
Vaull,Season_4,SeenOrMentioned,Season(s)
Captured_wight,Season_7,SeenOrMentioned,Season(s)
Tyene_Sand,Season_5,SeenOrMentioned,Season(s)
Tyene_Sand,Season_6,SeenOrMentioned,Season(s)
Tyene_Sand,Season_7,SeenOrMentioned,Season(s)
Citadel_maester_(The_Winds_of_Winter),Season_6,SeenOrMentioned,Season(s)
Brandon_Stark_(son_of_Rickard),Season_1,SeenOrMentioned,Season(s)
Brandon_Stark_(son_of_Rickard),Season_4,SeenOrMentioned,Season(s)
Brandon_Stark_(son_of_Rickard),Season_5,SeenOrMentioned,Season(s)
Biter,Season_1,SeenOrMentioned,Season(s)
Biter,Season_2,SeenOrMentioned,Season(s)
Biter,Season_4,SeenOrMentioned,Season(s)
Rorge,Season_1,SeenOrMentioned,Season(s)
Rorge,Season_2,SeenOrMentioned,Season(s)
Rorge,Season_4,SeenOrMentioned,Season(s)
Polliver,Season_2,SeenOrMentioned,Season(s)
Polliver,Season_4,SeenOrMentioned,Season(s)
Willem_Lannister,Season_3,SeenOrMentioned,Season(s)
Martyn_Lannister,Season_3,SeenOrMentioned,Season(s)
Alton_Lannister,Season_2,SeenOrMentioned,Season(s)
Stafford_Lannister,Season_2,SeenOrMentioned,Season(s)
Joanna_Lannister,Season_2,SeenOrMentioned,Season(s)
Joanna_Lannister,Season_3,SeenOrMentioned,Season(s)
Joanna_Lannister,Season_5,SeenOrMentioned,Season(s)
Joanna_Lannister,Season_6,SeenOrMentioned,Season(s)
Marillion,Season_1,SeenOrMentioned,Season(s)
Lady_Crane,Season_6,SeenOrMentioned,Season(s)
Mord,Season_1,SeenOrMentioned,Season(s)
Lothor_Brune,Season_2,SeenOrMentioned,Season(s)
Willem_Frey,Season_2,SeenOrMentioned,Season(s)
Willem_Frey,Season_3,SeenOrMentioned,Season(s)
Robett_Glover,Season_6,SeenOrMentioned,Season(s)
Robett_Glover,Season_7,SeenOrMentioned,Season(s)
Robett_Glover,Season_8,SeenOrMentioned,Season(s)
Harrion_Karstark,Season_2,SeenOrMentioned,Season(s)
Harrion_Karstark,Season_3,SeenOrMentioned,Season(s)
Baratheon_(son_of_Robert),Season_1,SeenOrMentioned,Season(s)
Tysha,Season_1,SeenOrMentioned,Season(s)
Tysha,Season_2,SeenOrMentioned,Season(s)
Tysha,Season_3,SeenOrMentioned,Season(s)
The_Tickler,Season_2,SeenOrMentioned,Season(s)
Weasel,Season_2,SeenOrMentioned,Season(s)
Innkeeper%27s_daughter,Season_4,SeenOrMentioned,Season(s)
Lord_of_Bones,Season_2,SeenOrMentioned,Season(s)
Lord_of_Bones,Season_3,SeenOrMentioned,Season(s)
Lord_of_Bones,Season_5,SeenOrMentioned,Season(s)
Ros,Season_1,SeenOrMentioned,Season(s)
Ros,Season_2,SeenOrMentioned,Season(s)
Ros,Season_3,SeenOrMentioned,Season(s)
Dontos_Hollard,Season_2,SeenOrMentioned,Season(s)
Dontos_Hollard,Season_4,SeenOrMentioned,Season(s)
Tourney_Herald,Season_2,SeenOrMentioned,Season(s)
Hugh,Season_1,SeenOrMentioned,Season(s)
Ryger_Rivers,Season_1,SeenOrMentioned,Season(s)
Talbot,Season_3,SeenOrMentioned,Season(s)
Waldron_Frey,Season_1,SeenOrMentioned,Season(s)
Malcolm,Season_3,SeenOrMentioned,Season(s)
Joyeuse_Frey,Season_1,SeenOrMentioned,Season(s)
Joyeuse_Frey,Season_3,SeenOrMentioned,Season(s)
Tully_(son_of_Edmure),Season_6,SeenOrMentioned,Season(s)
Kitty_Frey,Season_6,SeenOrMentioned,Season(s)
Kitty_Frey,Season_7,SeenOrMentioned,Season(s)
Frey_soldier_1,Season_3,SeenOrMentioned,Season(s)
Lannister_messenger,Season_1,SeenOrMentioned,Season(s)
Lannister_scout,Season_1,SeenOrMentioned,Season(s)
Lannister_spearman,Season_7,SeenOrMentioned,Season(s)
Lannister_soldier_3_(Dragonstone),Season_7,SeenOrMentioned,Season(s)
Lannister_soldier_1_(Dragonstone),Season_7,SeenOrMentioned,Season(s)
Lannister_soldier_(No_One),Season_6,SeenOrMentioned,Season(s)
Lannister_captain_(Home),Season_6,SeenOrMentioned,Season(s)
Melara_Hetherspoon,Season_5,SeenOrMentioned,Season(s)
Knight_of_House_Frey,Season_1,SeenOrMentioned,Season(s)
Lannister_guard_2,Season_5,SeenOrMentioned,Season(s)
Lannister_soldier_2_(The_Dragon_and_the_Wolf),Season_7,SeenOrMentioned,Season(s)
Musician_3_(The_Lion_and_the_Rose),Season_4,SeenOrMentioned,Season(s)
Musician_2_(The_Lion_and_the_Rose),Season_4,SeenOrMentioned,Season(s)
Musician_1_(The_Lion_and_the_Rose),Season_4,SeenOrMentioned,Season(s)
Maekar_Targaryen,Season_1,SeenOrMentioned,Season(s)
Daemon_II_Blackfyre,Season_1,SeenOrMentioned,Season(s)
Rat_Cook,Season_3,SeenOrMentioned,Season(s)
Jaremy_Mallister,Season_3,SeenOrMentioned,Season(s)
Adrack_Humble,Season_4,SeenOrMentioned,Season(s)
Baelor_Targaryen,Season_1,SeenOrMentioned,Season(s)
Baelor_Targaryen,Season_4,SeenOrMentioned,Season(s)
Baelor_Targaryen,Season_5,SeenOrMentioned,Season(s)
Daeron_Targaryen_(son_of_Aegon_V),Season_4,SeenOrMentioned,Season(s)
Shiera_Seastar,Season_1,SeenOrMentioned,Season(s)
Naerys_Targaryen,Season_1,SeenOrMentioned,Season(s)
Rhaego,Season_1,SeenOrMentioned,Season(s)
Rhaego,Season_2,SeenOrMentioned,Season(s)
Jhiqui,Season_1,SeenOrMentioned,Season(s)
Loboda,Season_5,SeenOrMentioned,Season(s)
Karsi,Season_5,SeenOrMentioned,Season(s)
Karsi,Season_8,SeenOrMentioned,Season(s)
Malleon,Season_1,SeenOrMentioned,Season(s)
Wun_Weg_Wun_Dar_Wun,Season_5,SeenOrMentioned,Season(s)
Wun_Weg_Wun_Dar_Wun,Season_6,SeenOrMentioned,Season(s)
Willa,Season_5,SeenOrMentioned,Season(s)
Johnna,Season_5,SeenOrMentioned,Season(s)
White_Walker_(Hardhome),Season_5,SeenOrMentioned,Season(s)
Styr,Season_4,SeenOrMentioned,Season(s)
Unnamed_miller%27s_wife,Season_3,SeenOrMentioned,Season(s)
Unnamed_miller%27s_wife,Season_5,SeenOrMentioned,Season(s)
Captain%27s_daughter,Season_2,SeenOrMentioned,Season(s)
Qotho,Season_1,SeenOrMentioned,Season(s)
Smalljon_Umber,Season_6,SeenOrMentioned,Season(s)
Dongo,Season_3,SeenOrMentioned,Season(s)
Dongo,Season_4,SeenOrMentioned,Season(s)
Orell,Season_3,SeenOrMentioned,Season(s)
Thenn_warg,Season_4,SeenOrMentioned,Season(s)
Malko,Season_5,SeenOrMentioned,Season(s)
Mago,Season_1,SeenOrMentioned,Season(s)
Haggo,Season_1,SeenOrMentioned,Season(s)
Cohollo,Season_1,SeenOrMentioned,Season(s)
Valyrian_sword_smith,Season_4,SeenOrMentioned,Season(s)
Tommy,Season_1,SeenOrMentioned,Season(s)
Cedric_Umber,Season_1,SeenOrMentioned,Season(s)
Maynard_Umber,Season_1,SeenOrMentioned,Season(s)
Morgana_Umber,Season_1,SeenOrMentioned,Season(s)
Emilia_Umber,Season_1,SeenOrMentioned,Season(s)
Finn_Umber,Season_1,SeenOrMentioned,Season(s)
Kear_Umber,Season_1,SeenOrMentioned,Season(s)
Brandon_Umber,Season_1,SeenOrMentioned,Season(s)
Leaf,Season_4,SeenOrMentioned,Season(s)
Leaf,Season_6,SeenOrMentioned,Season(s)
Three-Eyed_Raven,Season_1,SeenOrMentioned,Season(s)
Three-Eyed_Raven,Season_3,SeenOrMentioned,Season(s)
Three-Eyed_Raven,Season_4,SeenOrMentioned,Season(s)
Three-Eyed_Raven,Season_6,SeenOrMentioned,Season(s)
Lyonel_Baratheon,Season_1,SeenOrMentioned,Season(s)
Tobho_Mott,Season_1,SeenOrMentioned,Season(s)
Tobho_Mott,Season_2,SeenOrMentioned,Season(s)
Axel_Baratheon,Season_1,SeenOrMentioned,Season(s)
Katrina_Umber,Season_1,SeenOrMentioned,Season(s)
Hollys_Umber,Season_1,SeenOrMentioned,Season(s)
Old_man,Season_3,SeenOrMentioned,Season(s)
Mychal_Baratheon,Season_1,SeenOrMentioned,Season(s)
