Source,Target,Relation,Label
Valyrians,Old_Valyria,Location,Location
Valyrians,Valyrian_Freehold,Location,Location
Ice-river_clans,Beyond_the_Wall,Location,Location
Hornfoot,Beyond_the_Wall,Location,Location
Cave_people,Beyond_the_Wall,Location,Location
Ghiscari,Slaver%27s_Bay,Location,Location
Ghiscari,New_Ghis,Location,Location
Sarnori,Dothraki_Sea,Location,Location
Ibbenese,Ib,Location,Location
Shadow_Men,Asshai,Location,Location
Shadow_Men,Vaes_Dothrak,Location,Location
Crannogmen,The_Neck,Location,Location
Thenns,Thenn_(region),Location,Location
Thenns,Beyond_the_Wall,Location,Location
Northmen,The_North,Location,Location
Lhazareen,Lhazar,Location,Location
Hill_tribes,The_Vale_of_Arryn,Location,Location
Andals,The_Crownlands,Location,Location
Andals,The_Reach,Location,Location
Andals,The_Westerlands,Location,Location
Andals,The_Riverlands,Location,Location
Andals,The_Vale_of_Arryn,Location,Location
Andals,The_Stormlands,Location,Location
Andals,Iron_Islands,Location,Location
Andals,Dorne,Location,Location
Andals,The_North,Location,Location
Dothraki,Dothraki_Sea,Location,Location
Dothraki,Vaes_Dothrak,Location,Location
Giants,Beyond_the_Wall,Location,Location
Children_of_the_Forest,Beyond_the_Wall,Location,Location
Free_Folk,The_North,Location,Location
Free_Folk,Beyond_the_Wall,Location,Location
Wights,Beyond_the_Wall,Location,Location
Dornishmen,Dorne,Location,Location
Ironborn,Iron_Islands,Location,Location
White_Walkers,Beyond_the_Wall,Location,Location
