Source,Target,Relation,Label
Ice-river_clans,Old_Gods_of_the_Forest,Religion,Religion
Hornfoot,Old_Gods_of_the_Forest,Religion,Religion
Cave_people,Old_Gods_of_the_Forest,Religion,Religion
Crannogmen,Old_Gods_of_the_Forest,Religion,Religion
Thenns,Old_Gods_of_the_Forest,Religion,Religion
Northmen,Old_Gods_of_the_Forest,Religion,Religion
Northmen,Faith_of_the_Seven,Religion,Religion
Hill_tribes,Old_Gods_of_the_Forest,Religion,Religion
First_Men,Old_Gods_of_the_Forest,Religion,Religion
Andals,Faith_of_the_Seven,Religion,Religion
Dothraki,Great_Stallion,Religion,Religion
Giants,Old_Gods_of_the_Forest,Religion,Religion
Children_of_the_Forest,Old_Gods_of_the_Forest,Religion,Religion
Free_Folk,Old_Gods_of_the_Forest,Religion,Religion
Dornishmen,Faith_of_the_Seven,Religion,Religion
Ironborn,Drowned_God,Religion,Religion
