Source,Target,Relation,Label
Gryff_Whitehill,Forrester_greatsword,Death,Death
Gryff_Whitehill,Forrester_greatsword,Death,Death
Gryff_Whitehill,Forrester_greatsword,Death,Death
Ludd_Whitehill,Forrester_greatsword,Death,Death
Polliver,Needle,Death,Death
White_Walker_(Hardhome),Longclaw,Death,Death
Orell,Longclaw,Death,Death
Aemond_Targaryen,Dark_Sister,Death,Death
Nissa_Nissa,Lightbringer,Death,Death
Smiling_Knight,Dawn,Death,Death
Stableboy,Needle,Death,Death
Lommy,Needle,Death,Death
Vulture_King,Heartsbane,Death,Death
White_Walker_1_(Beyond_the_Wall),Longclaw,Death,Death
Harys,Forrester_greatsword,Death,Death
Harys,Forrester_greatsword,Death,Death
Royland_Degore,Forrester_greatsword,Death,Death
Duncan_Tuttle,Forrester_greatsword,Death,Death
Qhorin,Longclaw,Death,Death
Will,Ice,Death,Death
Karl_Tanner,Longclaw,Death,Death
Janos_Slynt,Longclaw,Death,Death
Arthur_Dayne,Dawn,Death,Death
Gordy,Lightbringer,Death,Death
Eddard_Stark,Ice,Death,Death
Stannis_Baratheon,Oathkeeper_(sword),Death,Death
Waif,Needle,Death,Death
Petyr_Baelish,Valyrian_steel_dagger,Death,Death
