Source,Target,Relation,Label
Needle,Arya_Stark,Owner,Owner
Needle,Polliver,Owner,Owner
Needle,Arya_Stark,Owner,Owner
Valyrian_steel_dagger,Arya_Stark,Owner,Owner
Valyrian_steel_dagger,Tyrion_Lannister,Owner,Owner
Valyrian_steel_dagger,Catspaw_assassin,Owner,Owner
Valyrian_steel_dagger,Catelyn_Stark,Owner,Owner
Valyrian_steel_dagger,Eddard_Stark,Owner,Owner
Valyrian_steel_dagger,Petyr_Baelish,Owner,Owner
Valyrian_steel_dagger,Bran_Stark,Owner,Owner
Ice,Ilyn_Payne,Owner,Owner
Hearteater,Joffrey_Baratheon,Owner,Owner
Lion%27s_Tooth,Joffrey_Baratheon,Owner,Owner
Dark_Sister,Visenya_Targaryen,Owner,Owner
Dark_Sister,Daemon_Targaryen,Owner,Owner
Dark_Sister,Aemon_Targaryen_(Dragonknight),Owner,Owner
Dark_Sister,Brynden_Rivers,Owner,Owner
Blackfyre,Aegon_I_Targaryen,Owner,Owner
Heartsbane,Randyll_Tarly,Owner,Owner
Heartsbane,Samwell_Tarly,Owner,Owner
Brightroar,Tommen_II_Lannister,Owner,Owner
Widow%27s_Wail,Jaime_Lannister,Owner,Owner
Widow%27s_Wail,Tommen_Baratheon,Owner,Owner
Widow%27s_Wail,Joffrey_Baratheon,Owner,Owner
Longclaw,Jon_Snow,Owner,Owner
Longclaw,Davos_Seaworth,Owner,Owner
Forrester_greatsword,Gregor_Forrester,Owner,Owner
Forrester_greatsword,Ethan_Forrester,Owner,Owner
Forrester_greatsword,Rodrik_Forrester,Owner,Owner
Forrester_greatsword,Asher_Forrester,Owner,Owner
Forrester_greatsword,Gared_Tuttle,Owner,Owner
Oathkeeper_(sword),Brienne_of_Tarth,Owner,Owner
Oathkeeper_(sword),Jaime_Lannister,Owner,Owner
Lightbringer,Stannis_Baratheon,Owner,Owner
Lightbringer,Azor_Ahai,Owner,Owner
