name,node_type,got_type,status,url
Balerion,Animal,,Deceased,Balerion
Grey Wind,Animal,,Deceased,Grey_Wind
Nagga,Animal,,Deceased,Nagga
Macumber,Animal,,,Macumber
Krakens,Animal,Cephalopods- sea creature- legendary,,Krakens
Bastard's girls,Animal,,Uncertain,Bastard%27s_girls
Zorses,Animal,Mammal,Active,Zorses
Dwarf elephants,Animal,Mammal,Active,Dwarf_elephants
Old men of the river,Animal,Reptile,Active,Old_men_of_the_river
Lizard-lions,Animal,Reptile,Active,Lizard-lions
Dornish sand steed,Animal,Mammal,Domesticated,Dornish_sand_steed
The Red,Animal,,Deceased,The_red
Bears,Animal,Mammal,Active,Bears
Basilisks,Animal,Reptile,Active,Basilisks
Sea dragons,Animal,Reptile- magical,Possibly extinct,Sea_dragons
Blood,Animal,,Alive,Blood_(horse)
Nymeria,Animal,,Alive,Nymeria_(direwolf)
Lady,Animal,,Deceased,Lady
Shadowcats,Animal,Mammal,Active,Shadowcats
Lions,Animal,Mammal,Nigh-extinct in Westeros - active in many regions of Essos .,Lions
Shadow,Animal,,Alive,Shadow_(snow_bear)
Silver,Animal,,Deceased,The_silver
Elephants,Animal,Mammal,Active,Elephants
Stormcloud,Animal,,Deceased,Stormcloud
Arrax,Animal,,Deceased,Arrax
Vermax,Animal,,Deceased,Vermax
Seasmoke,Animal,,Deceased,Seasmoke
Sunfyre,Animal,,Deceased,Sunfyre
Last Dragon,Animal,,Deceased,Last_dragon
Caraxes,Animal,,Deceased,Caraxes
Sheepstealer,Animal,,Uncertain,Sheepstealer
Meleys,Animal,,Deceased,Meleys
Silverwing,Animal,,Deceased,Silverwing
Vermithor,Animal,,Deceased,Vermithor
Vhagar,Animal,,Deceased,Vhagar
Meraxes,Animal,,Deceased,Meraxes
Vermithrax,Animal,,Deceased,Vermithrax
Valryon,Animal,,Deceased,Valryon
Ghiscar,Animal,,Deceased,Ghiscar_(dragon)
Syrax,Animal,,Deceased,Syrax
Tyraxes,Animal,,Deceased,Tyraxes
Morghul,Animal,,Deceased,Morghul
Shrykos,Animal,,Deceased,Shrykos
Dreamfyre,Animal,,Deceased,Dreamfyre
Essovius,Animal,,Deceased,Essovius
Archonei,Animal,,Deceased,Archonei
Shaggydog,Animal,,Deceased,Shaggydog
Deep Ones,Animal,Legendary- non-human intelligent race,Extinct,Deep_Ones
Dancer,Animal,,Deceased,Dancer
Ser Pounce,Animal,,Alive,Ser_Pounce
Ghost,Animal,,Alive,Ghost
Summer,Animal,,Deceased,Summer
Manticores,Animal,Insect,Active,Manticores
Mermaids,Animal,Sea-creatures- half-human- legendary,,Mermaids
Snow bear,Animal,Mammal,Extant,Snow_bears
Rhaegal,Animal,,Alive,Rhaegal
Viserion,Animal,,Deceased  (corpse reanimated as a wight ),Viserion
Drogon,Animal,,Alive,Drogon
Stranger,Animal,,Alive,Stranger
Dogs,Animal,Domestic Mammal,Active,Dogs
Cats,Animal,Mammal,Active,Cats
Ravens,Animal,Bird,Active- both domesticated and wild,Ravens
Mammoths,Animal,Mammal,Active,Mammoths
Horses,Animal,Domesticated mammal,Domesticated,Horses
Direwolves,Animal,Mammal,Majority north of the Wall; Minority south of the Wall; Believed extinct south of the Wall (formerly),Direwolves
Dragons,Animal,Reptile- magical,Extinct from 150 AC - 298 AC; Endangered,Dragons
