name,node_type,got_type,status,url
The Old Gods and the New,Episode,,,The_Old_Gods_and_the_New
Mockingbird,Episode,,,Mockingbird
And Now His Watch Is Ended,Episode,,,And_Now_His_Watch_Is_Ended
The Wars To Come,Episode,,,The_Wars_To_Come
The Watchers on the Wall,Episode,,,The_Watchers_on_the_Wall
Blackwater,Episode,,,Blackwater
Baelor,Episode,,,Baelor
What Is Dead May Never Die,Episode,,,What_Is_Dead_May_Never_Die
Fire and Blood,Episode,,,Fire_and_Blood
The Wolf and the Lion,Episode,,,The_Wolf_and_the_Lion
Winter Is Coming,Episode,,,Winter_Is_Coming
The Kingsroad,Episode,,,The_Kingsroad
Lord Snow,Episode,,,Lord_Snow
A Golden Crown,Episode,,,A_Golden_Crown
First of His Name,Episode,,,First_of_His_Name
"Dark Wings, Dark Words",Episode,,,"Dark_Wings,_Dark_Words"
Mother's Mercy,Episode,,,Mother%27s_Mercy
Kill the Boy,Episode,,,Kill_the_Boy
Hardhome,Episode,,,Hardhome_(episode)
The Gift,Episode,,,The_Gift_(episode)
Sons of the Harpy,Episode,,,Sons_of_the_Harpy_(episode)
The Children,Episode,,,The_Children
The Mountain and the Viper,Episode,,,The_Mountain_and_the_Viper
Oathkeeper,Episode,,,Oathkeeper
Two Swords,Episode,,,Two_Swords
Mhysa,Episode,,,Mhysa
Breaker of Chains,Episode,,,Breaker_of_Chains
The Rains of Castamere,Episode,,,The_Rains_of_Castamere_(episode)
Second Sons,Episode,,,Second_Sons_(episode)
The Bear and the Maiden Fair,Episode,,,The_Bear_and_the_Maiden_Fair_(episode)
Walk of Punishment,Episode,,,Walk_of_Punishment
The House of Black and White,Episode,,,The_House_of_Black_and_White
Kissed by Fire,Episode,,,Kissed_by_Fire
The Dance of Dragons,Episode,,,The_Dance_of_Dragons
The Ghost of Harrenhal,Episode,,,The_Ghost_of_Harrenhal
The Lion and the Rose,Episode,,,The_Lion_and_the_Rose
The Climb,Episode,,,The_Climb
A Man Without Honor,Episode,,,A_Man_Without_Honor
Garden of Bones,Episode,,,Garden_of_Bones
The Laws of Gods and Men,Episode,,,The_Laws_of_Gods_and_Men
Valar Dohaeris,Episode,,,Valar_Dohaeris
The Night Lands,Episode,,,The_Night_Lands
The Prince of Winterfell,Episode,,,The_Prince_of_Winterfell
The North Remembers,Episode,,,The_North_Remembers
"Unbowed, Unbent, Unbroken",Episode,,,"Unbowed,_Unbent,_Unbroken"
You Win or You Die,Episode,,,You_Win_or_You_Die
The Pointy End,Episode,,,The_Pointy_End
"Cripples, Bastards, and Broken Things",Episode,,,"Cripples,_Bastards,_and_Broken_Things"
High Sparrow,Episode,,,High_Sparrow_(episode)
Valar Morghulis,Episode,,,Valar_Morghulis
The Ice Dragon,Episode,,,The_Ice_Dragon
A Nest of Vipers,Episode,,,A_Nest_of_Vipers
The Sword in the Darkness,Episode,,,The_Sword_in_the_Darkness
The Lost Lords,Episode,,,The_Lost_Lords
Iron From Ice,Episode,,,Iron_From_Ice
Sons of Winter,Episode,,,Sons_of_Winter
Battle of the Bastards,Episode,,,Battle_of_the_Bastards_(episode)
The Winds of Winter,Episode,,,The_Winds_of_Winter
No One,Episode,,,No_One
The Broken Man,Episode,,,The_Broken_Man
Blood of My Blood,Episode,,,Blood_of_My_Blood
The Door,Episode,,,The_Door
Book of the Stranger,Episode,,,Book_of_the_Stranger
Oathbreaker,Episode,,,Oathbreaker
The Red Woman,Episode,,,The_Red_Woman
Home,Episode,,,Home
The Dragon and the Wolf,Episode,,,The_Dragon_and_the_Wolf
Beyond the Wall,Episode,,,Beyond_the_Wall_(episode)
Eastwatch,Episode,,,Eastwatch
Dragonstone,Episode,,,Dragonstone_(episode)
The Spoils of War,Episode,,,The_Spoils_of_War
The Queen's Justice,Episode,,,The_Queen%27s_Justice
Stormborn,Episode,,,Stormborn
