name,node_type,got_type,status,url
Sack of Highgarden,Event,,,Sack_of_Highgarden
Daenerys Targaryen's invasion of Westeros,Event,,,Daenerys_Targaryen%27s_invasion_of_Westeros
Battle of Ironrath,Event,,,Battle_of_Ironrath
Battle of the Goldroad,Event,,,Battle_of_the_Goldroad
Abandonment of Dragonstone,Event,,,Abandonment_of_Dragonstone
Battle at Long Lake,Event,,,Battle_at_Long_Lake
Vulture Hunt,Event,,,Vulture_Hunt
First Dornish War,Event,,,First_Dornish_War
Siege of Tarbeck Hall,Event,,,Siege_of_Tarbeck_Hall
Battle of the Camps,Event,,,Battle_of_the_Camps
Surrender of Moat Cailin,Event,,,Surrender_of_Moat_Cailin
Liberation of Harrenhal,Event,,,Liberation_of_Harrenhal
Sack of Ashemark,Event,,,Sack_of_Ashemark
Liberation of Stone Hedge,Event,,,Liberation_of_Stone_Hedge
Liberation of Raventree Hall,Event,,,Liberation_of_Raventree_Hall
Raid on Torrhen's Square,Event,,,Raid_on_Torrhen%27s_Square
Battle of Seagard,Event,,,Battle_of_Seagard
Assassination at the Red Keep,Event,,,Assassination_at_the_Red_Keep
Ambush at Dragonstone,Event,,,Ambush_at_Dragonstone
Battle of Fair Isle,Event,,,Battle_of_Fair_Isle
Raid on Sea Dragon Point,Event,,,Raid_on_Sea_Dragon_Point
Assault on Harrenhal,Event,,,Assault_on_Harrenhal
Dance Over Storm's End,Event,,,Dance_Over_Storm%27s_End
Siege of Rook's Rest,Event,,,Siege_of_Rook%27s_Rest
Fall of King's Landing,Event,,,Fall_of_King%27s_Landing
Assassination of Aegon II,Event,,,Assassination_of_Aegon_II
Battle Above the Gods Eye,Event,,,Battle_Above_the_Gods_Eye
Raid on Craster's Keep,Event,,,Raid_on_Craster%27s_Keep
Battle of the Gullet,Event,,,Battle_of_the_Gullet
Sack of Tumbleton,Event,,,Sack_of_Tumbleton
Assassination of Dalton Greyjoy,Event,,,Assassination_of_Dalton_Greyjoy
Butcher's Ball,Event,,,Butcher%27s_Ball
Retaking of Harrenhal,Event,,,Retaking_of_Harrenhal
Battle at the Cave of the Three-Eyed Raven,Event,,,Battle_at_the_Cave_of_the_Three-Eyed_Raven
Siege of Astapor,Event,,,Siege_of_Astapor
Breaching of the Wall,Event,,,Breaching_of_the_Wall
Showdown at the Tower of Joy,Event,,,Showdown_at_the_Tower_of_Joy
Sack of the Iron Islands,Event,,,Sack_of_the_Iron_Islands
Assault on Dragonstone,Event,,,Assault_on_Dragonstone
The Pact,Event,,,The_Pact
Battle of Ashford,Event,,,Battle_of_Ashford
Battle of Summerhall,Event,,,Battle_of_Summerhall
Skirmish at Littlefinger's brothel,Event,,,Skirmish_at_Littlefinger%27s_brothel
Trial by Seven of ,Event,,,Trial_by_Seven_of_Maegor_Targaryen
Faith Militant raid on the Red Keep,Event,,,Faith_Militant_raid_on_the_Red_Keep
Uprising in Meereen,Event,,,Uprising_in_Meereen
Massacre of the ,Event,,,Massacre_of_the_Khalar_vezhven
Sack of Lannisport,Event,,,Sack_of_Lannisport
Field of Crows,Event,,,Field_of_Crows
First Trial by Combat of Tyrion Lannister,Event,,,First_Trial_by_Combat_of_Tyrion_Lannister
Siege of Old Wyk,Event,,,Siege_of_Old_Wyk
Siege of Great Wyk,Event,,,Siege_of_Great_Wyk
Raid on Lannisport,Event,,,Raid_on_Lannisport
Battle of the Redgrass Field,Event,,,Battle_of_the_Redgrass_Field
Trial by Seven of ,Event,,,Trial_by_Seven_of_Duncan_the_Tall
Wildfire Plot,Event,,,Wildfire_Plot
Ironborn Invasion of the North,Event,,,Ironborn_Invasion_of_the_North
Battle of Golden Tooth,Event,,,Battle_of_the_Golden_Tooth
Siege of Riverrun,Event,,,Siege_of_Riverrun
Battle of the Seven Stars,Event,,,Battle_of_the_Seven_Stars
Massacre in the Red Keep,Event,,,Massacre_in_the_Red_Keep
Assassination of Jon Arryn,Event,,,Assassination_of_Jon_Arryn
Battle of the Green Fork,Event,,,Battle_of_the_Green_Fork
Surrender of the Crag,Event,,,Surrender_of_the_Crag
Battle of the Yellow Fork,Event,,,Battle_of_the_Yellow_Fork
Battle of Stone Mill,Event,,,Battle_of_Stone_Mill
Raid by the Gods Eye,Event,,,Raid_by_the_Gods_Eye
Dragon's Wroth,Event,,,Dragon%27s_Wroth
Attempt of assassination on Aegon I,Event,,,Attempt_of_assassination_on_Aegon_I
Siege of Hellholt,Event,,,Siege_of_Hellholt
Assault on Oldtown,Event,,,Assault_on_Oldtown
Uprising in Sunspear,Event,,,Uprising_in_Sunspear
Occupation of Sunspear,Event,,,Occupation_of_Sunspear
Battle of Yunkai,Event,,,Battle_of_Yunkai
Last Storm,Event,,,Last_Storm
Assassination of Ethan Forrester,Event,,,Assassination_of_Ethan_Forrester
Attempted Murder of Mira Forrester,Event,,,Attempted_Murder_of_Mira_Forrester
Skirmish at the Tuttle Farm,Event,,,Skirmish_at_the_Tuttle_Farm
Assassination of Renly Baratheon,Event,,,Assassination_of_Renly_Baratheon
Capture of the Whitehill Garrison,Event,,,Capture_of_the_Whitehill_Garrison
Assault on the Dreadfort,Event,,,Assault_on_the_Dreadfort
Fall of Moat Cailin,Event,,,Fall_of_Moat_Cailin
First Battle of Deepwood Motte,Event,,,First_Battle_of_Deepwood_Motte
