name,node_type,got_type,status,url
Northern Allegiances to House Stark,HistoriesNLore,,,Northern_Allegiances_to_House_Stark
The North,HistoriesNLore,,,The_North_(Histories_%26_Lore)
The Maester's Chain,HistoriesNLore,,,The_Maester%27s_Chain
The Field of Fire,HistoriesNLore,,,The_Field_of_Fire
The Red Keep,HistoriesNLore,,,The_Red_Keep
The Free Cities,HistoriesNLore,,,The_Free_Cities
The Night's Watch,HistoriesNLore,,,The_Night%27s_Watch
The Age of Heroes,HistoriesNLore,,,The_Age_of_Heroes
The Sack of King's Landing,HistoriesNLore,,,The_Sack_of_King%27s_Landing
The Last Dragons,HistoriesNLore,,,The_Last_Dragons
"House Martell, Princes of Dorne",HistoriesNLore,,,"House_Martell,_Princes_of_Dorne"
"House Arryn, Kings of the Vale",HistoriesNLore,,,"House_Arryn,_Kings_of_the_Vale"
"House Stark, The Kings of Winter",HistoriesNLore,,,"House_Stark,_The_Kings_of_Winter"
"House Lannister, Kings of the Rock & House Gardener, Kings of the Reach",HistoriesNLore,,,"House_Lannister,_Kings_of_the_Rock_%26_House_Gardener,_Kings_of_the_Reach"
"Aegon, First of His Name",HistoriesNLore,,,"Aegon,_First_of_His_Name"
"House Durrandon, the Storm Kings",HistoriesNLore,,,"House_Durrandon,_the_Storm_Kings"
"House Hoare, Ironborn Kings of the Riverlands",HistoriesNLore,,,"House_Hoare,_Ironborn_Kings_of_the_Riverlands"
Invasion,HistoriesNLore,,,Invasion
Prophecies of the Known World,HistoriesNLore,,,Prophecies_of_the_Known_World
The Hand of the King,HistoriesNLore,,,The_Hand_of_the_King
Highgarden,HistoriesNLore,,,Highgarden_(Histories_%26_Lore)
Casterly Rock,HistoriesNLore,,,Casterly_Rock_(Histories_%26_Lore)
The Citadel,HistoriesNLore,,,The_Citadel_(Histories_%26_Lore)
Great Sept of Baelor,HistoriesNLore,,,Great_Sept_of_Baelor_(Histories_%26_Lore)
House Tarly,HistoriesNLore,,,House_Tarly_(Histories_%26_Lore)
Knights of the Vale,HistoriesNLore,,,Knights_of_the_Vale_(Histories_%26_Lore)
House Dayne,HistoriesNLore,,,House_Dayne_(Histories_%26_Lore)
The Little Birds,HistoriesNLore,,,The_Little_Birds
The Dragonpit,HistoriesNLore,,,The_Dragonpit
Oldtown,HistoriesNLore,,,Oldtown_(Histories_%26_Lore)
Riverrun,HistoriesNLore,,,Riverrun_(Histories_%26_Lore)
Brotherhood Without Banners,HistoriesNLore,,,Brotherhood_Without_Banners_(Histories_%26_Lore)
The Dothraki,HistoriesNLore,,,The_Dothraki
Children of the Forest vs. the First Men,HistoriesNLore,,,Children_of_the_Forest_vs._the_First_Men
Vaes Dothrak,HistoriesNLore,,,Vaes_Dothrak_(Histories_%26_Lore)
War of the Ninepenny Kings,HistoriesNLore,,,War_of_the_Ninepenny_Kings_(Histories_%26_Lore)
The Summer Sea,HistoriesNLore,,,The_Summer_Sea
The Kingsmoot,HistoriesNLore,,,The_Kingsmoot_(Histories_%26_Lore)
The Old Way,HistoriesNLore,,,The_Old_Way
The Great Masters of Meereen,HistoriesNLore,,,The_Great_Masters_of_Meereen
Greyscale & The Stone Men,HistoriesNLore,,,Greyscale_%26_The_Stone_Men
The Fighting Pits of Meereen,HistoriesNLore,,,The_Fighting_Pits_of_Meereen
Dorne,HistoriesNLore,,,Dorne_(Histories_%26_Lore)
The Lord Commanders,HistoriesNLore,,,The_Lord_Commanders
Winterfell,HistoriesNLore,,,Winterfell_(Histories_%26_Lore)
The Faceless Men,HistoriesNLore,,,The_Faceless_Men
Braavos,HistoriesNLore,,,Braavos_(Histories_%26_Lore)
Volantis,HistoriesNLore,,,Volantis_(Histories_%26_Lore)
The Many-Faced God,HistoriesNLore,,,The_Many-Faced_God
The Seven-Pointed Star,HistoriesNLore,,,The_Seven-Pointed_Star_(Histories_%26_Lore)
Justice of the Seven Kingdoms,HistoriesNLore,,,Justice_of_the_Seven_Kingdoms
Valyrian Steel,HistoriesNLore,,,Valyrian_Steel_(Histories_%26_Lore)
