name,node_type,got_type,status,url
House Swyft,House,,,House_Swyft
House Fossoway,House,,,House_Fossoway
House Baelish,House,,,House_Baelish
House Brune,House,,,House_Brune
House Whent,House,,,House_Whent
House Tarbeck,House,,,House_Tarbeck
House Casterly,House,,,House_Casterly
House Greenfield,House,,,House_Greenfield
House Lorch,House,,,House_Lorch
House Hetherspoon,House,,,House_Hetherspoon
House Yarwyck,House,,,House_Yarwyck
House Tollett,House,,,House_Tollett
House Lynderly,House,,,House_Lynderly
House Egen,House,,,House_Egen
House Strong,House,,,House_Strong
House Hunter,House,,,House_Hunter
House Moore,House,,,House_Moore
House Qoherys,House,,,House_Qoherys
House Mudd,House,,,House_Mudd
House Lothston,House,,,House_Lothston
House Justman,House,,,House_Justman
House Harroway,House,,,House_Harroway
House Darry,House,,,House_Darry
House Wode,House,,,House_Wode
House Haigh,House,,,House_Haigh
House Blacktyde,House,,,House_Blacktyde
House Greyiron,House,,,House_Greyiron
House Kenning,House,,,House_Kenning
House Humble,House,,,House_Humble
House Sparr,House,,,House_Sparr
House Merlyn,House,,,House_Merlyn
House Harlaw,House,,,House_Harlaw
House Goodbrother,House,,,House_Goodbrother
House Drumm,House,,,House_Drumm
House Penrose,House,,,House_Penrose
House of Loraq,House,,,House_of_Loraq
House Degore,House,,,House_Degore
House Cassel,House,,,House_Cassel
House Wylde,House,,,House_Wylde
House Swann,House,,,House_Swann
House Grandison,House,,,House_Grandison
House Grayson,House,,,House_Grayson
House Elliver,House,,,House_Elliver
House Poole,House,,,House_Poole
House Warrick,House,,,House_Warrick
House Brownbarrow,House,,,House_Brownbarrow
House Mollen,House,,,House_Mollen
House Mazin,House,,,House_Mazin
House Marsh,House,,,House_Marsh
House Holt,House,,,House_Holt
House Flint,House,,,House_Flint
House Dormund,House,,,House_Dormund
House Toyne,House,,,House_Toyne
House Connington,House,,,House_Connington
House Seaworth,House,,,House_Seaworth
House Selmy,House,,,House_Selmy
House Dondarrion,House,,,House_Dondarrion
House Caron,House,,,House_Caron
House Trant,House,,,House_Trant
House Tarth,House,,,House_Tarth
House Peasebury,House,,,House_Peasebury
House Musgood,House,,,House_Musgood
House Morrigen,House,,,House_Morrigen
House Lonmouth,House,,,House_Lonmouth
House Cole,House,,,House_Cole
House Errol,House,,,House_Errol
House Wells,House,,,House_Wells
House Blackmont,House,,,House_Blackmont
House Manwoody,House,,,House_Manwoody
House Qorgyle,House,,,House_Qorgyle
House Jordayne,House,,,House_Jordayne
House Allyrion,House,,,House_Allyrion
House Dalt,House,,,House_Dalt
House Santagar,House,,,House_Santagar
House Gargalen,House,,,House_Gargalen
House Tallhart,House,,,House_Tallhart
House Botley,House,,,House_Botley
House Erenford,House,,,House_Erenford
House Smallwood,House,,,House_Smallwood
House Mooton,House,,,House_Mooton
House Cargyll,House,,,House_Cargyll
House Velaryon,House,,,House_Velaryon
House Thorne,House,,,House_Thorne
House Slynt,House,,,House_Slynt
House Rykker,House,,,House_Rykker
House Gaunt,House,,,House_Gaunt
House Chelsted,House,,,House_Chelsted
House Blount,House,,,House_Blount
House Hollard,House,,,House_Hollard
House Durwell,House,,,House_Durwell
House Rowan,House,,,House_Rowan
House Oakheart,House,,,House_Oakheart
House Merryweather,House,,,House_Merryweather
House Leygood,House,,,House_Leygood
House Bulwer,House,,,House_Bulwer
House Beesbury,House,,,House_Beesbury
House Ashford,House,,,House_Ashford
House Corbray,House,,,House_Corbray
House Payne,House,,,House_Payne
House Lefford,House,,,House_Lefford
House Lannister of Lannisport,House,,,House_Lannister_of_Lannisport
House Estermont,House,,,House_Estermont
House Tarwick,House,,,House_Tarwick
House Westerling,House,,,House_Westerling
House Sarsfield,House,,,House_Sarsfield
House Crakehall,House,,,House_Crakehall
House Clegane,House,,,House_Clegane
House Marbrand,House,,,House_Marbrand
House Branfield,House,,,House_Branfield
House Rosby,House,,,House_Rosby
House Ryswell,House,,,House_Ryswell
House Glenmore,House,,,House_Glenmore
House Yronwood,House,,,House_Yronwood
House Uller,House,,,House_Uller
House Serrett,House,,,House_Serrett
House Durrandon,House,,,House_Durrandon
House Towers,House,,,House_Towers
House Dustin,House,,,House_Dustin
House Frost,House,,,House_Frost
House Amber,House,,,House_Amber
House Towers,House,,,House_Towers_(North)
House Greenwood,House,,,House_Greenwood
House Buckwell,House,,,House_Buckwell
House Reyne,House,,,House_Reyne
House of the Undying,House,Sect headquarters,Active,House_of_the_Undying
House Cuy,House,,,House_Cuy
House Dayne,House,,,House_Dayne
House of Qaggaz,House,,,House_of_Qaggaz
House Hoare,House,,,House_Hoare
House Gardener,House,,,House_Gardener
House of Black and White,House,Temple,Active,House_of_Black_and_White
House Follard,House,,,House_Follard
House Blackfyre,House,,,House_Blackfyre
House Baratheon of Dragonstone,House,,,House_Baratheon_of_Dragonstone
House Baratheon of King's Landing,House,,,House_Baratheon_of_King%27s_Landing
House Whitehill,House,,,House_Whitehill
House Staunton,House,,,House_Staunton
House Waynwood,House,,,House_Waynwood
House Mallister,House,,,House_Mallister
House Bracken,House,,,House_Bracken
House Royce,House,,,House_Royce
House Hightower,House,,,House_Hightower
House Florent,House,,,House_Florent
House Stokeworth,House,,,House_Stokeworth
House Redwyne,House,,,House_Redwyne
House Tarly,House,,,House_Tarly
House Blackwood,House,,,House_Blackwood
House Karstark,House,,,House_Karstark
House Cerwyn,House,,,House_Cerwyn
House Umber,House,,,House_Umber
House Hornwood,House,,,House_Hornwood
House Manderly,House,,,House_Manderly
House Forrester,House,,,House_Forrester
House Bolton,House,,,House_Bolton
House Glover,House,,,House_Glover
House Reed,House,,,House_Reed
House Mormont,House,,,House_Mormont
House Baratheon,House,,,House_Baratheon
House Frey,House,,,House_Frey
House Martell,House,,,House_Martell
House Greyjoy,House,,,House_Greyjoy
House Arryn,House,,,House_Arryn
House Tully,House,,,House_Tully
House Tyrell,House,,,House_Tyrell
House Templeton,House,,,House_Templeton
House Targaryen,House,,,House_Targaryen
House Lannister,House,,,House_Lannister
House Stark,House,,,House_Stark
