name,node_type,got_type,status,url
Dragonpit,Location,Stable for dragons,Destroyed,Dragonpit
Clegane's Keep,Location,Castle,In use,Clegane%27s_Keep
Feastfires,Location,Castle,In use,Feastfires
Crakehall,Location,Castle,In use,Crakehall
Cornfield,Location,Settlement,In use,Cornfield
Deep Den,Location,Castle,In use,Deep_Den
Faircastle,Location,Castle,,Faircastle
Hornvale,Location,Castle,,Hornvale
Oxcross,Location,Village,Inhabited,Oxcross
Sarsfield,Location,Castle,In use,Sarsfield
Ashemark,Location,Stronghold,In use,Ashemark
The Crag,Location,Castle,Partially ruined; Still in use,The_Crag
The Banefort,Location,Castle,,The_Banefort
Baelish Castle,Location,Castle,,Unnamed_Baelish_castle
Tarbeck Hall,Location,Castle,Destroyed by Ser  Tywin Lannister,Tarbeck_Hall
Kingdom of the Mountain and the Vale,Location,Feudal hereditary absolute monarchy,,Kingdom_of_the_Mountain_and_the_Vale
Mummer's Ford,Location,Town,,Mummer%27s_Ford
Whitewalls,Location,Castle,,Whitewalls
Hammerhorn,Location,Castle,,Hammerhorn
Giant's Lance,Location,Mountain,,Giant%27s_Lance
Samyrian,Location,,,Samyrian
Mantarys,Location,Mercantile city-state,,Mantarys
Thenn valley,Location,Geographic area,,Thenn_(region)
White Tree,Location,Village,,White_Tree
Cave of the Three-Eyed Raven,Location,Cave,,Cave_of_the_Three-Eyed_Raven
Oros,Location,City,,Oros
Tyria,Location,City- ruins,,Tyria
Bhorash,Location,City,Ruined,Bhorash
Queenscrown,Location,Holdfast,Abandoned,Queenscrown
Kingdom of the Three Daughters,Location,Alliance of Tyrosh - Myr - and Lys,,Kingdom_of_the_Three_Daughters
Gullet,Location,Stretch of water,,Gullet
The Hightower,Location,Lighthouse,,The_Hightower
Long Bridge of Volantis,Location,,,Long_Bridge
Rain House,Location,Castle,,Rain_House
Temple of the Dosh khaleen,Location,Religious and governmental center,Destroyed,Temple_of_the_Dosh_khaleen
Mother of Mountains,Location,Mountain,,Mother_of_Mountains
Estermont,Location,Island,,Estermont
Blackhaven,Location,Castle,,Blackhaven
Mistwood,Location,Castle,,Mistwood
Crow's Nest,Location,Castle,,Crow%27s_Nest
Stonehelm,Location,Castle,,Stonehelm
Griffin's Roost,Location,Castle,,Griffin%27s_Roost
Evenfall Hall,Location,Castle,,Evenfall_Hall
Felwood,Location,Castle,,Felwood
Bronzegate,Location,Castle,,Bronzegate
The Footprint,Location,Region,,The_Footprint
Ghost Hill,Location,Castle,,Ghost_Hill
Lemonwood,Location,Castle,,Lemonwood
Saltshore,Location,Castle,,Saltshore
Godsgrace,Location,Castle,,Godsgrace
The Tor,Location,Castle,,The_Tor
Sandstone,Location,Castle,,Sandstone
Skyreach,Location,Castle,,Skyreach
Kingsgrave,Location,Castle,,Kingsgrave
Vulture's Roost,Location,Castle,,Vulture%27s_Roost
 Blackmont ,Location,Castle,,Blackmont
Sunflower Hall,Location,Castle,,Sunflower_Hall
Three Towers,Location,Castle,,Three_Towers
Blackcrown,Location,Castle,,Blackcrown
Uplands,Location,Castle,,Uplands
Bandallon,Location,Castle,,Bandallon
Brightwater Keep,Location,Castle,,Brightwater_Keep
Grassy Vale,Location,Castle,,Grassy_Vale
Bitterbridge,Location,Castle,,Bitterbridge
Goldengrove,Location,Castle,,Goldengrove
Red Lake,Location,Castle,,Red_Lake
Battle Isle,Location,Island,,Battle_Isle
Oldstones,Location,Ruined castle,Ruined,Oldstones
Honeyholt,Location,Castle,,Honeyholt
Long Table,Location,Castle,,Long_Table
Sathar,Location,Ruin,,Sathar
Bayasabhad,Location,City-state,,Bayasabhad
Hyrkoon,Location,Region,,Hyrkoon
The Red Waste,Location,,,Red_Waste
The Maidenvault,Location,Prison,,Maidenvault
Valyrian Peninsula,Location,Peninsula,,Valyrian_Peninsula
The Black Cells,Location,Dungeon,,Black_Cells
Kingdom of the Stormlands,Location,Feudal  hereditary  absolute  monarchy; Kingdom,,Kingdom_of_the_Stormlands
Ar Noy,Location,City,Ruined,Ar_Noy
Maegor's Holdfast,Location,Tower,In use,Maegor%27s_Holdfast
Haystack Hall,Location,Castle,,Haystack_Hall
Cider Hall,Location,Castle,,Cider_Hall
Skirling Pass,Location,Mountain pass,,Skirling_Pass
Great Tourney at Harrenhal,Location,,,Great_Tourney_at_Harrenhal
Greenstone,Location,Castle,,Greenstone
Riverrun,Location,Castle- regional capital,,Lord_of_Riverrun
