name,node_type,got_type,status,url
Qyburn,Person,,Alive,Qyburn
Luwin,Person,,Deceased,Luwin
Wolkan,Person,,Alive,Wolkan
Bear Island maester,Person,,Alive,Bear_Island_maester
Cressen,Person,,Deceased,Cressen
Margaery Tyrell,Person,,Deceased,Margaery_Tyrell
Volarik,Person,,Uncertain,Volarik
Vaull,Person,,Deceased,Vaull
Captured wight,Person,,Deceased,Captured_wight
Tyene Sand,Person,,Deceased,Tyene_Sand
Citadel maester,Person,,Alive,Citadel_maester_(The_Winds_of_Winter)
Brandon Stark,Person,,Deceased,Brandon_Stark_(son_of_Rickard)
Elaena Glenmore,Person,,Uncertain,Elaena_Glenmore
Gryff Whitehill,Person,,Determinant,Gryff_Whitehill
Ryon Forrester,Person,,Alive,Ryon_Forrester
Biter,Person,,Deceased,Biter
Rorge,Person,,Deceased,Rorge
Ludd Whitehill,Person,,Determinant,Ludd_Whitehill
Polliver,Person,,Deceased,Polliver
Willem Lannister,Person,,Deceased,Willem_Lannister
Martyn Lannister,Person,,Deceased,Martyn_Lannister
Alton Lannister,Person,,Deceased,Alton_Lannister
Stafford Lannister,Person,,Deceased,Stafford_Lannister
Joanna Lannister,Person,,Deceased,Joanna_Lannister
Marillion,Person,,Alive,Marillion
Gared's sister,Person,,Deceased,Gared%27s_sister
Gared's father,Person,,Deceased,Gared%27s_father
Thermund,Person,,Deceased,Thermund
Norren,Person,,Unknown,Norren
Lady Crane,Person,,Deceased,Lady_Crane
Mord,Person,,Alive,Mord
Lothor Brune,Person,,Alive,Lothor_Brune
Willem Frey,Person,,Deceased,Willem_Frey
Robett Glover,Person,,Alive,Robett_Glover
Harrion Karstark,Person,,Deceased,Harrion_Karstark
Son of Robert Baratheon and Cersei Lannister,Person,,Deceased,Baratheon_(son_of_Robert)
Tysha,Person,,Uncertain,Tysha
The Tickler,Person,,Deceased,The_Tickler
Weasel,Person,,Alive,Weasel
Innkeeper's daughter,Person,,Alive,Innkeeper%27s_daughter
Lord of Bones,Person,,Deceased,Lord_of_Bones
Baelish,Person,,Deceased,Baelish_(founder)
Baelish,Person,,Deceased,Baelish_(hedge_knight)
Ros,Person,,Deceased,Ros
Dontos Hollard,Person,,Deceased,Dontos_Hollard
Tourney Herald,Person,,Alive,Tourney_Herald
Elbert Arryn,Person,,,Elbert_Arryn
Hugh,Person,,Deceased,Hugh
Baelish,Person,,Deceased,Lord_Baelish_(father_of_Petyr)
Ryger Rivers,Person,,Deceased,Ryger_Rivers
Talbot,Person,,Deceased,Talbot
Waldron Frey,Person,,Uncertain,Waldron_Frey
Malcolm,Person,,Deceased,Malcolm
Joyeuse Frey,Person,,Deceased,Joyeuse_Frey
Son of Edmure and Roslin Tully,Person,,Alive,Tully_(son_of_Edmure)
Kitty Frey,Person,,Alive,Kitty_Frey
Frey soldier,Person,,Deceased,Frey_soldier_1
Lannister messenger,Person,,Alive,Lannister_messenger
Lannister scout,Person,,Alive,Lannister_scout
Lannister spearman,Person,,Deceased,Lannister_spearman
Lannister soldier,Person,,Alive,Lannister_soldier_3_(Dragonstone)
Lannister soldier,Person,,Alive,Lannister_soldier_1_(Dragonstone)
Lannister soldier,Person,,Alive,Lannister_soldier_(No_One)
Lannister captain,Person,,Alive,Lannister_captain_(Home)
Melara Hethersoon,Person,,Uncertain,Melara_Hetherspoon
Tion Tarbeck,Person,,Deceased,Tion_Tarbeck
Ellyn Reyne,Person,,Deceased,Ellyn_Reyne
Walderan Tarbeck,Person,,Deceased,Walderan_Tarbeck
Knight of House Frey,Person,,Deceased,Knight_of_House_Frey
Lannister guard,Person,,Alive,Lannister_guard_2
Lannister soldier,Person,,Alive,Lannister_soldier_2_(The_Dragon_and_the_Wolf)
Musician,Person,,Alive,Musician_3_(The_Lion_and_the_Rose)
Musician,Person,,Alive,Musician_2_(The_Lion_and_the_Rose)
Alys Harroway,Person,,Deceased,Alys_Harroway
Musician,Person,,Alive,Musician_1_(The_Lion_and_the_Rose)
Qhored Hoare,Person,,Deceased,Qhored_Hoare
The Grey King,Person,,Deceased,Grey_King
Raymun Darry,Person,,Deceased,Raymun_Darry
Danelle Lothston,Person,,Deceased,Danelle_Lothston
Tion Lannister,Person,,Deceased,Tion_Lannister
Tywald Lannister,Person,,Deceased,Tywald_Lannister
Reynard Reyne,Person,,Deceased,Reynard_Reyne
Roger Reyne,Person,,Deceased,Roger_Reyne
Jeyne Lannister,Person,,Deceased,Jeyne_Lannister
Gerold Lannister,Person,,Deceased,Gerold_Lannister
Bernarr II Justman,Person,,Deceased,Bernarr_II_Justman
Maekar I Targaryen,Person,,Deceased,Maekar_Targaryen
Daemon II Blackfyre,Person,,Deceased,Daemon_II_Blackfyre
The Rat Cook,Person,,Deceased,Rat_Cook
The Night's Queen,Person,,Deceased,Night%27s_Queen
Hugor of the Hill,Person,,Deceased,Hugor_of_the_Hill
Winged Knight,Person,,Deceased,Winged_Knight
Herndon,Person,,Deceased,Herndon_of_the_Horn
Jaremy Mallister,Person,,Deceased,Jaremy_Mallister
Adrack Humble,Person,,Deceased,Adrack_Humble
Qhorwyn Hoare,Person,,Deceased,Qhorwyn_Hoare
Artys I Arryn,Person,,Deceased,Artys_I_Arryn
Baelor I Targaryen,Person,,Deceased,Baelor_Targaryen
Daeron Targaryen,Person,,Deceased,Daeron_Targaryen_(son_of_Aegon_V)
Shiera Seastar,Person,,Deceased,Shiera_Seastar
Naerys Targaryen,Person,,Deceased,Naerys_Targaryen
Rhaego,Person,,Deceased,Rhaego
Jhiqui,Person,,Uncertain,Jhiqui
Elaena Targaryen,Person,,Deceased,Elaena_Targaryen
Loboda,Person,,Deceased,Loboda
Karsi,Person,,Deceased  (reanimated as a wight ),Karsi
Rhaena Targaryen,Person,,Deceased,Rhaena_Targaryen_(daughter_of_Aegon_III)
Malleon,Person,,Deceased,Malleon
Denner,Person,,Uncertain,Denner
