name,node_type,got_type,status,url
Valyrians,PersonType,,Scattered,Valyrians
Ice-river clans,PersonType,,Active,Ice-river_clans
Hornfoot,PersonType,,Active,Hornfoot
Cave people,PersonType,,Active,Cave_people
Ghiscari,PersonType,,Active,Ghiscari
Sarnori,PersonType,,Active,Sarnori
Ibbenese,PersonType,,Active,Ibbenese
Shadow Men,PersonType,,Active,Shadow_Men
Crannogmen,PersonType,,Active,Crannogmen
Thenns,PersonType,,Active,Thenns
Northmen,PersonType,,Active,Northmen
Lhazareen,PersonType,,Active,Lhazareen
Jogos Nhai,PersonType,,Active,Jogos_Nhai
Hill tribes,PersonType,,Active,Hill_tribes
First Men,PersonType,,Diversified into modern groups,First_Men
Andals,PersonType,,Active,Andals
Rhoynar,PersonType,,Extinct,Rhoynar
Dothraki,PersonType,,Active,Dothraki
Giants,PersonType,,Assumed extinct- few have been reanimated as wights,Giants
Children of the Forest,PersonType,,Uncertain; possibly extinct,Children_of_the_Forest
Free Folk,PersonType,,Active,Free_Folk
Wights,PersonType,,Active,Wights
Dornishmen,PersonType,,Active,Dornishmen
Ironborn,PersonType,,Active,Ironborn
White Walkers,PersonType,,Active,White_Walkers
